# ATTO 590
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
Q0 0.8
extcoeffv 120000
tauf 3700

# ex-wav, exc-val, fluor-wav, fluor-val
250, 0.265, 556, 0.003
251, 0.2725, 557, 0.003
252, 0.283, 558, 0.004
253, 0.296, 559, 0.004
254, 0.3085, 560, 0.004
255, 0.3245, 561, 0.005
256, 0.339, 562, 0.005
257, 0.358, 563, 0.006
258, 0.3785, 564, 0.006
259, 0.401, 565, 0.007
260, 0.4265, 566, 0.008
261, 0.452, 567, 0.009
262, 0.4815, 568, 0.01
263, 0.5075, 569, 0.012
264, 0.5325, 570, 0.013
265, 0.554, 571, 0.014
266, 0.5675, 572, 0.017
267, 0.578, 573, 0.02
268, 0.5835, 574, 0.023
269, 0.5905, 575, 0.025
270, 0.597, 576, 0.029
271, 0.607, 577, 0.032
272, 0.6205, 578, 0.038
273, 0.632, 579, 0.043
274, 0.64, 580, 0.051
275, 0.6375, 581, 0.058
276, 0.623, 582, 0.066
277, 0.59, 583, 0.074
278, 0.543, 584, 0.084
279, 0.485, 585, 0.095
280, 0.4205, 586, 0.109
281, 0.3625, 587, 0.123
282, 0.311, 588, 0.138
283, 0.2705, 589, 0.156
284, 0.2385, 590, 0.175
285, 0.213, 591, 0.195
286, 0.195, 592, 0.216
287, 0.1765, 593, 0.239
288, 0.1645, 594, 0.263
289, 0.152, 595, 0.289
290, 0.142, 596, 0.317
291, 0.134, 597, 0.347
292, 0.1275, 598, 0.38
293, 0.126, 599, 0.414
294, 0.1235, 600, 0.449
295, 0.124, 601, 0.486
296, 0.1205, 602, 0.525
297, 0.12, 603, 0.565
298, 0.115, 604, 0.605
299, 0.108, 605, 0.644
300, 0.1025, 606, 0.684
301, 0.0955, 607, 0.722
302, 0.09, 608, 0.76
303, 0.0845, 609, 0.796
304, 0.0825, 610, 0.83
305, 0.077, 611, 0.86
306, 0.0735, 612, 0.887
307, 0.0735, 613, 0.91
308, 0.07, 614, 0.927
309, 0.069, 615, 0.944
310, 0.0665, 616, 0.958
311, 0.0645, 617, 0.976
312, 0.063, 618, 0.987
313, 0.0615, 619, 0.995
314, 0.061, 620, 0.998
315, 0.0575, 621, 1
316, 0.058, 622, 0.998
317, 0.0555, 623, 0.991
318, 0.056, 624, 0.985
319, 0.0565, 625, 0.975
320, 0.054, 626, 0.966
321, 0.0545, 627, 0.951
322, 0.055, 628, 0.932
323, 0.0555, 629, 0.91
324, 0.056, 630, 0.889
325, 0.056, 631, 0.87
326, 0.0595, 632, 0.849
327, 0.0605, 633, 0.825
328, 0.061, 634, 0.801
329, 0.063, 635, 0.78
330, 0.064, 636, 0.757
331, 0.065, 637, 0.733
332, 0.0665, 638, 0.708
333, 0.0685, 639, 0.684
334, 0.0695, 640, 0.661
335, 0.071, 641, 0.636
336, 0.0715, 642, 0.615
337, 0.073, 643, 0.592
338, 0.0725, 644, 0.573
339, 0.0745, 645, 0.549
340, 0.076, 646, 0.528
341, 0.0755, 647, 0.507
342, 0.078, 648, 0.49
343, 0.08, 649, 0.472
344, 0.081, 650, 0.455
345, 0.0825, 651, 0.439
346, 0.084, 652, 0.424
347, 0.0855, 653, 0.41
348, 0.086, 654, 0.397
349, 0.088, 655, 0.382
350, 0.0875, 656, 0.367
351, 0.089, 657, 0.355
352, 0.089, 658, 0.345
353, 0.089, 659, 0.335
354, 0.089, 660, 0.327
355, 0.0895, 661, 0.319
356, 0.0905, 662, 0.309
357, 0.089, 663, 0.297
358, 0.089, 664, 0.289
359, 0.0885, 665, 0.281
360, 0.09, 666, 0.276
361, 0.0915, 667, 0.269
362, 0.0915, 668, 0.265
363, 0.0925, 669, 0.257
364, 0.094, 670, 0.251
365, 0.0955, 671, 0.245
366, 0.0965, 672, 0.24
367, 0.0985, 673, 0.234
368, 0.0985, 674, 0.229
369, 0.099, 675, 0.224
370, 0.1, 676, 0.219
371, 0.0985, 677, 0.214
372, 0.098, 678, 0.21
373, 0.094, 679, 0.205
374, 0.092, 680, 0.2
375, 0.088, 681, 0.194
376, 0.087, 682, 0.188
377, 0.0835, 683, 0.182
378, 0.08, 684, 0.179
379, 0.0785, 685, 0.174
380, 0.077, 686, 0.168
381, 0.0755, 687, 0.162
382, 0.075, 688, 0.159
383, 0.076, 689, 0.156
384, 0.074, 690, 0.152
385, 0.076, 691, 0.148
386, 0.0775, 692, 0.144
387, 0.0775, 693, 0.139
388, 0.0785, 694, 0.135
389, 0.081, 695, 0.13
390, 0.0825, 696, 0.126
