# ATTO Rho14
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
Q0 0.8
extcoeffv 140000
tauf 3700

# ex-wav, exc-val, fluor-wav, fluor-val
200, 0.35377042, 502, 0.00009195
201, 0.36771836, 503, 0.00009594
202, 0.38121877, 504, 0.00008244
203, 0.39718058, 505, 0.00007791
204, 0.41299321, 506, 0.00006753
205, 0.42843291, 507, 0.00007593
206, 0.44126203, 508, 0.00007004
207, 0.45185351, 509, 0.0000799
208, 0.45975983, 510, 0.00008413
209, 0.46408592, 511, 0.00008267
210, 0.46520474, 512, 0.00008548
211, 0.46416051, 513, 0.00010119
212, 0.46222123, 514, 0.00009555
213, 0.45796972, 515, 0.00009989
214, 0.45386738, 516, 0.0001114
215, 0.44998881, 517, 0.00011153
216, 0.44596106, 518, 0.00010161
217, 0.44305214, 519, 0.00010305
218, 0.43939733, 520, 0.00009875
219, 0.43633923, 521, 0.00010159
220, 0.43283359, 522, 0.00010012
221, 0.42888044, 523, 0.00010159
222, 0.42403222, 524, 0.00010025
223, 0.41955695, 525, 0.00011616
224, 0.41463415, 526, 0.00011351
225, 0.41015887, 527, 0.00010943
226, 0.40702618, 528, 0.00011695
227, 0.40352055, 529, 0.00011867
228, 0.40150668, 530, 0.00010598
229, 0.39926904, 531, 0.00010199
230, 0.39807563, 532, 0.00010532
231, 0.39650929, 533, 0.00009109
232, 0.39419706, 534, 0.00008709
233, 0.39195942, 535, 0.00009196
234, 0.38830462, 536, 0.00008638
235, 0.3847244, 537, 0.00008983
236, 0.37987618, 538, 0.00009913
237, 0.37577385, 539, 0.00009486
238, 0.36921011, 540, 0.00009064
239, 0.36145297, 541, 0.0001016
240, 0.35145819, 542, 0.00010216
241, 0.33922578, 543, 0.00009497
242, 0.32587454, 544, 0.00010304
243, 0.31155367, 545, 0.00011129
244, 0.29864996, 546, 0.00010567
245, 0.28641754, 547, 0.00010008
246, 0.27575147, 548, 0.00010053
247, 0.26665175, 549, 0.00010114
248, 0.25904378, 550, 0.00009545
249, 0.25330051, 551, 0.00009117
250, 0.24889983, 552, 0.00009348
251, 0.24703513, 553, 0.00010555
252, 0.24569255, 554, 0.00009802
253, 0.24643843, 555, 0.0000954
254, 0.2478556, 556, 0.00010261
255, 0.25165958, 557, 0.00009323
256, 0.25643321, 558, 0.00008223
257, 0.262624, 559, 0.00010316
258, 0.2706795, 560, 0.00011227
259, 0.2799284, 561, 0.00011641
260, 0.29134034, 562, 0.00013422
261, 0.30342358, 563, 0.00014349
262, 0.31841575, 564, 0.00014634
263, 0.33445215, 565, 0.0001508
264, 0.35220407, 566, 0.00014995
265, 0.37092564, 567, 0.00016378
266, 0.38979637, 568, 0.00017208
267, 0.40724994, 569, 0.00017352
268, 0.42112329, 570, 0.00017465
269, 0.43164019, 571, 0.00019231
270, 0.43715969, 572, 0.00019964
271, 0.44275379, 573, 0.00024056
272, 0.44924293, 574, 0.00026288
273, 0.45893936, 575, 0.00033483
274, 0.47214142, 576, 0.00038647
275, 0.48556724, 577, 0.00043104
276, 0.49973894, 578, 0.00048248
277, 0.50764526, 579, 0.0005531
278, 0.50682479, 580, 0.00057188
279, 0.49272768, 581, 0.00061583
280, 0.46348922, 582, 0.00070166
281, 0.42268964, 583, 0.0007207
282, 0.3779369, 584, 0.00080295
283, 0.33482509, 585, 0.00089216
284, 0.29678526, 586, 0.00099797
285, 0.26530917, 587, 0.00114265
286, 0.23636906, 588, 0.00140482
287, 0.21086, 589, 0.00156724
288, 0.18535094, 590, 0.00183115
289, 0.16185575, 591, 0.00209384
290, 0.14208995, 592, 0.00240029
291, 0.12568061, 593, 0.002743
292, 0.11397031, 594, 0.0032317
293, 0.10554188, 595, 0.00374907
294, 0.10091743, 596, 0.00437484
295, 0.09763556, 597, 0.00516665
296, 0.09584545, 598, 0.00586481
297, 0.0936824, 599, 0.00683901
298, 0.09032595, 600, 0.00795344
299, 0.08555232, 601, 0.00926486
300, 0.07958529, 602, 0.01063517
301, 0.0739912, 603, 0.01226433
302, 0.06869546, 604, 0.0142276
303, 0.06489147, 605, 0.01662367
304, 0.06153502, 606, 0.01932993
305, 0.05937197, 607, 0.02266736
306, 0.0579548, 608, 0.02642724
307, 0.05616469, 609, 0.03064323
308, 0.05504587, 610, 0.03521764
309, 0.05333035, 611, 0.04034578
310, 0.05213694, 612, 0.04600986
311, 0.04997389, 613, 0.05256443
312, 0.04840755, 614, 0.05981152
313, 0.0462445, 615, 0.06786425
314, 0.04452898, 616, 0.07672151
315, 0.04303722, 617, 0.08646244
316, 0.04147087, 618, 0.0974162
317, 0.04094876, 619, 0.10950762
318, 0.03982994, 620, 0.1239972
319, 0.039457, 621, 0.14160861
320, 0.03863653, 622, 0.16196767
321, 0.03811442, 623, 0.18535987
322, 0.03774148, 624, 0.2119846
323, 0.03729395, 625, 0.23878266
324, 0.03714478, 626, 0.26512944
325, 0.03684642, 627, 0.28967587
326, 0.03707019, 628, 0.31391026
327, 0.03714478, 629, 0.33892915
328, 0.03774148, 630, 0.36756584
329, 0.03803983, 631, 0.39856009
330, 0.03915865, 632, 0.43479089
331, 0.03982994, 633, 0.4736192
332, 0.04117252, 634, 0.51289625
333, 0.04236593, 635, 0.55320774
334, 0.04355933, 636, 0.595427
335, 0.04445439, 637, 0.63759047
336, 0.04557321, 638, 0.67908064
337, 0.04609532, 639, 0.72096534
338, 0.04669203, 640, 0.76149982
339, 0.04669203, 641, 0.8005615
340, 0.04788543, 642, 0.83581758
341, 0.04796002, 643, 0.87030661
342, 0.04818378, 644, 0.90247425
343, 0.04825837, 645, 0.93043007
344, 0.04900425, 646, 0.9525856
345, 0.04967554, 647, 0.97154208
346, 0.05012307, 648, 0.98654152
347, 0.05079436, 649, 0.99623442
348, 0.05183859, 650, 1
349, 0.053032, 651, 0.99832207
350, 0.05429999, 652, 0.99210589
351, 0.0560901, 653, 0.97961548
