# ATTO Rho3B
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
Q0 0.5
extcoeffv 120000
tauf 1500

# ex-wav, exc-val, fluor-wav, fluor-val
200, 0.3749, 500, 0.00013434
201, 0.36655, 501, 0.00011875
202, 0.35775, 502, 0.00015752
203, 0.3506, 503, 0.00016906
204, 0.34295, 504, 0.00012187
205, 0.33505, 505, 0.00013785
206, 0.3299, 506, 0.00013958
207, 0.323, 507, 0.00017444
208, 0.3166, 508, 0.00016624
209, 0.3102, 509, 0.00017397
210, 0.30215, 510, 0.00013236
211, 0.29525, 511, 0.00015479
212, 0.2878, 512, 0.00013637
213, 0.281, 513, 0.00012952
214, 0.2746, 514, 0.00017283
215, 0.27, 515, 0.00016169
216, 0.26525, 516, 0.00015802
217, 0.26205, 517, 0.00016163
218, 0.2597, 518, 0.00016974
219, 0.25745, 519, 0.00014469
220, 0.25555, 520, 0.00021146
221, 0.2549, 521, 0.00017864
222, 0.2535, 522, 0.00021264
223, 0.2527, 523, 0.00025613
224, 0.25185, 524, 0.00021412
225, 0.25085, 525, 0.00028433
226, 0.24875, 526, 0.00027192
227, 0.2451, 527, 0.00030425
228, 0.24065, 528, 0.0003665
229, 0.23565, 529, 0.00035266
230, 0.23075, 530, 0.00040964
231, 0.2261, 531, 0.00047364
232, 0.2219, 532, 0.00052579
233, 0.21885, 533, 0.00055474
234, 0.2162, 534, 0.00062252
235, 0.2138, 535, 0.00074435
236, 0.21195, 536, 0.00081396
237, 0.2097, 537, 0.00087609
238, 0.20705, 538, 0.00109077
239, 0.20425, 539, 0.00135775
240, 0.1999, 540, 0.00150965
241, 0.19505, 541, 0.00175241
242, 0.19035, 542, 0.00210044
243, 0.18655, 543, 0.00275385
244, 0.1841, 544, 0.00303822
245, 0.1843, 545, 0.0037283
246, 0.1865, 546, 0.00449443
247, 0.1906, 547, 0.00555271
248, 0.19675, 548, 0.00671202
249, 0.2048, 549, 0.0081883
250, 0.214, 550, 0.00979145
251, 0.22475, 551, 0.01201238
252, 0.2352, 552, 0.01433532
253, 0.24515, 553, 0.01754479
254, 0.25435, 554, 0.02140308
255, 0.26185, 555, 0.03007561
256, 0.26845, 556, 0.04515749
257, 0.2737, 557, 0.06068626
258, 0.27775, 558, 0.06776775
