# ATTO Thio12
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
Q0 0.15
extcoeffv 110000
tauf 2000

# ex-wav, exc-val, fluor-wav, fluor-val
200, 0.35115, 553, 0.00181455
201, 0.33575, 554, 0.00215319
202, 0.31955, 555, 0.00260075
203, 0.30575, 556, 0.00312579
204, 0.29375, 557, 0.0037044
205, 0.2817, 558, 0.00433772
206, 0.272, 559, 0.00506681
207, 0.26185, 560, 0.00602095
208, 0.2545, 561, 0.00727129
209, 0.2459, 562, 0.00894856
210, 0.23885, 563, 0.01098071
211, 0.23105, 564, 0.01351178
212, 0.2228, 565, 0.01653701
213, 0.21655, 566, 0.02017161
214, 0.20765, 567, 0.02453732
215, 0.1993, 568, 0.02995687
216, 0.19035, 569, 0.03667764
217, 0.1838, 570, 0.04457439
218, 0.1776, 571, 0.05355715
219, 0.17245, 572, 0.06374742
220, 0.16895, 573, 0.07625776
221, 0.1666, 574, 0.09121809
222, 0.16615, 575, 0.1094082
223, 0.1661, 576, 0.13064887
224, 0.1677, 577, 0.15521678
225, 0.1696, 578, 0.18170151
226, 0.1715, 579, 0.2095388
227, 0.17405, 580, 0.23753146
228, 0.1764, 581, 0.26577218
229, 0.1797, 582, 0.29362603
230, 0.18135, 583, 0.32147988
231, 0.1833, 584, 0.34984624
232, 0.1856, 585, 0.38006571
233, 0.1863, 586, 0.41307408
234, 0.1876, 587, 0.4494183
235, 0.18715, 588, 0.48958698
236, 0.18655, 589, 0.53297514
237, 0.18455, 590, 0.57783212
238, 0.1832, 591, 0.62221079
239, 0.1812, 592, 0.66495091
240, 0.17885, 593, 0.70594075
241, 0.178, 594, 0.74338383
242, 0.1765, 595, 0.77786239
243, 0.1757, 596, 0.80986023
244, 0.17345, 597, 0.84036398
245, 0.171, 598, 0.86825929
246, 0.16735, 599, 0.89500142
247, 0.1623, 600, 0.92001782
248, 0.157, 601, 0.94267016
249, 0.15095, 602, 0.96173675
250, 0.14555, 603, 0.97749492
251, 0.1397, 604, 0.98977538
252, 0.13485, 605, 0.99690463
253, 0.1305, 606, 1
254, 0.12555, 607, 0.9989542
255, 0.1213, 608, 0.99363727
256, 0.11695, 609, 0.98360605
257, 0.11285, 610, 0.97200636
258, 0.1082, 611, 0.95867274
259, 0.105, 612, 0.94355424
260, 0.10315, 613, 0.92630308
261, 0.10175, 614, 0.90840255
262, 0.1028, 615, 0.88903356
263, 0.10505, 616, 0.8674662
264, 0.1096, 617, 0.84499998
265, 0.1154, 618, 0.82233046
266, 0.1235, 619, 0.7990247
267, 0.1325, 620, 0.77451781
268, 0.14225, 621, 0.74969405
269, 0.1542, 622, 0.72438614
270, 0.16675, 623, 0.69948113
271, 0.1816, 624, 0.67550404
272, 0.1974, 625, 0.6528069
273, 0.2159, 626, 0.63120249
274, 0.23745, 627, 0.61101773
275, 0.25965, 628, 0.59240898
276, 0.2841, 629, 0.57434502
277, 0.3085, 630, 0.55767735
278, 0.3323, 631, 0.54226203
279, 0.35385, 632, 0.52779313
280, 0.3731, 633, 0.51294257
281, 0.3903, 634, 0.49847333
282, 0.40765, 635, 0.48483511
283, 0.42895, 636, 0.47175505
284, 0.4555, 637, 0.45917011
285, 0.4877, 638, 0.4475697
286, 0.52355, 639, 0.43659994
287, 0.55765, 640, 0.4259545
288, 0.5811, 641, 0.41580535
289, 0.5862, 642, 0.40679115
290, 0.5711, 643, 0.3989732
291, 0.5361, 644, 0.39206227
292, 0.48805, 645, 0.38539847
293, 0.4339, 646, 0.37954584
294, 0.38115, 647, 0.37420239
295, 0.3339, 648, 0.36984536
296, 0.29285, 649, 0.36585227
297, 0.26035, 650, 0.3623746
298, 0.23395, 651, 0.35838454
299, 0.2137, 652, 0.35439049
300, 0.1985, 653, 0.34937709
301, 0.1872, 654, 0.3441602
302, 0.17895, 655, 0.33874824
303, 0.1734, 656, 0.33355804
304, 0.17065, 657, 0.32803017
305, 0.1692, 658, 0.32200261
306, 0.1684, 659, 0.3166622
307, 0.16825, 660, 0.31201187
308, 0.1677, 661, 0.30873537
309, 0.1674, 662, 0.30545823
310, 0.16595, 663, 0.30188368
311, 0.16535, 664, 0.29678913
312, 0.1637, 665, 0.29037161
313, 0.1626, 666, 0.28307496
314, 0.16195, 667, 0.27574486
315, 0.1619, 668, 0.26906424
316, 0.16275, 669, 0.26375566
317, 0.1635, 670, 0.25999999
318, 0.16535, 671, 0.25643729
319, 0.1662, 672, 0.25236946
320, 0.1681, 673, 0.24765835
321, 0.1673, 674, 0.24220106
322, 0.16635, 675, 0.23608199
323, 0.16395, 676, 0.22957929
324, 0.1598, 677, 0.22328659
325, 0.15375, 678, 0.21746144
326, 0.14635, 679, 0.21098623
327, 0.1379, 680, 0.20496137
328, 0.1281, 681, 0.19852987
329, 0.1169, 682, 0.19203939
330, 0.10635, 683, 0.18524017
331, 0.0957, 684, 0.17910309
332, 0.08515, 685, 0.17306282
333, 0.07645, 686, 0.1679261
334, 0.06845, 687, 0.16380848
335, 0.0607, 688, 0.16007721
336, 0.05405, 689, 0.15611919
337, 0.049, 690, 0.15138752
338, 0.04435, 691, 0.14636303
339, 0.03985, 692, 0.14169178
340, 0.03595, 693, 0.13730564
341, 0.0344, 694, 0.13424663
342, 0.0317, 695, 0.13077752
343, 0.0302, 696, 0.12872768
344, 0.02955, 697, 0.12665279
345, 0.02925, 698, 0.1254219
346, 0.0289, 699, 0.12299331
347, 0.02915, 700, 0.12063617
348, 0.02995, 701, 0.11702914
349, 0.0304, 702, 0.11283528
350, 0.03075, 703, 0.10805425
351, 0.0315, 704, 0.10422918
352, 0.03165, 705, 0.10112298
353, 0.0323, 706, 0.09818115
354, 0.03375, 707, 0.09510013
355, 0.03455, 708, 0.09218573
356, 0.03615, 709, 0.08951486
357, 0.03775, 710, 0.08732068
358, 0.0406, 711, 0.08559732
359, 0.0437, 712, 0.0843815
360, 0.04655, 713, 0.08298638
361, 0.0501, 714, 0.08153401
362, 0.0542, 715, 0.07983611
363, 0.058, 716, 0.07847506
364, 0.0607, 717, 0.07729919
365, 0.06405, 718, 0.07666594
366, 0.06625, 719, 0.07577823
367, 0.06655, 720, 0.07459316
368, 0.0667, 721, 0.0727006
369, 0.0658, 722, 0.07080566
370, 0.0635, 723, 0.06857374
371, 0.06075, 724, 0.06649316
372, 0.0578, 725, 0.06473974
373, 0.054, 726, 0.06307081
374, 0.04965, 727, 0.06091938
375, 0.04575, 728, 0.05894369
376, 0.0415, 729, 0.05705045
377, 0.03705, 730, 0.05598041
378, 0.0336, 731, 0.05479338
379, 0.02875, 732, 0.05426389
380, 0.02545, 733, 0.05357614
381, 0.0225, 734, 0.05337601
382, 0.019, 735, 0.05244943
383, 0.0168, 736, 0.05198738
384, 0.0145, 737, 0.05103872
385, 0.01235, 738, 0.05092426
386, 0.01085, 739, 0.04999256
387, 0.00975, 740, 0.04912295
388, 0.00845, 741, 0.04763765
389, 0.007, 742, 0.04692449
390, 0.0063, 743, 0.04606096
391, 0.00575, 744, 0.0456035
392, 0.005, 745, 0.04521729
393, 0.00455, 746, 0.04530326
394, 0.00455, 747, 0.04486439
395, 0.00425, 748, 0.0434809
396, 0.0035, 749, 0.0416464
397, 0.00355, 750, 0.03993628
398, 0.004, 751, 0.03854392
399, 0.0041, 752, 0.03722658
400, 0.0036, 753, 0.03593569
401, 0.00415, 754, 0.03498425
402, 0.0042, 755, 0.03380986
403, 0.0042, 756, 0.03269749
404, 0.00435, 757, 0.03191688
405, 0.00485, 758, 0.0319329
406, 0.005, 759, 0.0325201
407, 0.00505, 760, 0.03324375
408, 0.00575, 761, 0.03350145
409, 0.0059, 762, 0.03276827
410, 0.00585, 763, 0.03121745
411, 0.00635, 764, 0.02937087
412, 0.00705, 765, 0.02802019
413, 0.00715, 766, 0.02736492
414, 0.0073, 767, 0.02776768
415, 0.0082, 768, 0.02827628
416, 0.00855, 769, 0.02867154
417, 0.0085, 770, 0.02839598
418, 0.00895, 771, 0.02780421
419, 0.0096, 772, 0.02679837
420, 0.0098, 773, 0.02616573
421, 0.0102, 774, 0.02565825
422, 0.0106, 775, 0.02512407
423, 0.0108, 776, 0.02424616
424, 0.01095, 777, 0.02331911
425, 0.0115, 778, 0.02259426
