# wl,abs
250,178.9564
251,184.6734
252,190.1328
253,195.0538
254,199.6268
255,203.5725
256,207.4464
257,210.3321
258,212.8296
259,214.757
260,216.0765
261,216.5496
262,216.2264
263,215.3735
264,213.6445
265,211.3856
266,208.8545
267,205.4385
268,202.5863
269,199.0589
270,195.0013
271,190.4729
272,185.7756
273,180.3901
274,174.8843
275,169.0216
276,163.049
277,156.7114
278,150.4057
279,143.8293
280,137.2575
281,130.7001
282,123.8244
283,116.8534
284,110.0089
285,103.0381
286,95.99117
287,89.15932
288,82.22003
289,75.63118
290,69.29356
291,63.16915
292,57.38063
293,51.75235
294,46.65185
295,41.86168
296,37.64575
297,33.74015
298,30.45734
299,27.59253
300,25.20905
301,23.22649
302,21.68346
303,20.383
304,19.50055
305,18.74877
306,18.2231
307,17.83486
308,17.69131
309,17.30286
310,17.22686
311,17.08752
312,16.91863
313,16.66508
314,16.41618
315,16.01063
316,15.68552
317,15.18518
318,14.55838
319,13.93328
320,13.20092
321,12.43669
322,11.67858
323,11.03912
324,10.21578
325,9.468226
326,8.83932
327,8.136101
328,7.50276
329,6.75563
330,6.185624
331,5.596617
332,5.258625
333,4.760397
334,4.56195
335,4.253936
336,3.992155
337,3.852609
338,3.772386
339,3.61004
340,3.656273
341,3.683718
342,3.774708
343,3.886387
344,4.046834
345,4.095601
346,4.29827
347,4.382504
348,4.496505
349,4.621062
350,4.743508
351,4.817397
352,5.091845
353,5.23118
354,5.400281
355,5.609073
356,5.828842
357,5.902732
358,6.162401
359,6.290969
360,6.413415
361,6.487305
362,6.57175
363,6.557183
364,6.607851
365,6.533961
366,6.491738
367,6.40307
368,6.333192
369,6.143401
370,5.976622
371,5.875076
372,5.685285
373,5.49296
374,5.336948
375,5.093956
376,4.870387
377,4.650618
378,4.424726
379,4.253936
380,4.010944
381,3.783153
382,3.639596
383,3.497938
384,3.261491
385,3.257269
386,3.113923
387,3.071701
388,2.949044
389,2.926032
390,2.837153
391,2.828709
392,2.765586
393,2.814142
394,2.807598
395,2.769808
396,2.784586
397,2.788597
398,2.788597
399,2.843487
400,2.841587
401,2.938488
402,2.984933
403,3.018711
404,3.042145
405,3.10949
406,3.173035
407,3.215258
408,3.293159
409,3.339815
410,3.367048
411,3.44326
412,3.47915
413,3.525383
414,3.515039
415,3.521372
416,3.582384
417,3.605606
418,3.569717
419,3.563595
420,3.578373
421,3.565706
422,3.546494
423,3.595262
424,3.504272
425,3.523483
426,3.506594
427,3.447482
428,3.48316
429,3.451494
430,3.377815
431,3.36937
432,3.360926
433,3.36937
434,3.310259
435,3.373381
436,3.246714
437,3.236158
438,3.215258
439,3.147701
440,3.149601
441,3.126379
442,3.069378
443,3.065156
444,3.075712
445,3.018711
446,3.016811
447,2.999711
448,2.919488
449,2.917377
450,2.847709
451,2.763264
452,2.725474
453,2.680929
454,2.590151
455,2.558695
456,2.501694
457,2.476361
458,2.433927
459,2.429705
460,2.322037
461,2.311692
462,2.341248
463,2.275803
464,2.301136
465,2.284247
466,2.281925
467,2.294803
468,2.317814
469,2.292481
470,2.393815
471,2.375026
472,2.438149
473,2.503594
474,2.683252
475,2.742152
476,2.822375
477,2.936588
478,3.037922
479,3.162479
480,3.297381
481,3.441149
482,3.569717
483,3.681818
484,3.87182
485,4.059711
486,4.270825
487,4.456604
488,4.707618
489,4.939843
490,5.15539
491,5.400281
492,5.657629
493,5.923843
494,6.187524
495,6.474849
496,6.759641
497,7.061533
498,7.386859
499,7.758208
500,8.079311
501,8.501538
502,8.894209
503,9.354225
504,9.839997
505,10.30846
506,10.84258
507,11.43791
508,12.01637
509,12.62036
510,13.27481
511,13.98605
512,14.71017
513,15.45751
514,16.26207
515,17.13186
516,17.92986
517,18.87354
518,19.80434
519,20.79446
520,21.70014
521,22.70736
522,23.65737
523,24.62638
524,25.63107
525,26.59396
526,27.5313
527,28.47054
528,29.41633
529,30.33911
530,31.24057
531,32.16735
532,33.03482
533,33.93438
534,34.83139
535,35.74573
536,36.66829
537,37.65609
538,38.5871
539,39.63422
540,40.63089
541,41.71601
542,42.90015
543,44.11405
544,45.44407
545,46.75719
546,48.31542
547,49.8671
548,51.62779
549,53.43471
550,55.31805
551,57.35319
552,59.45356
553,61.68946
554,63.95893
555,66.40573
556,68.76999
557,71.27168
558,73.73347
559,76.28796
560,78.79577
561,81.24068
562,83.59881
563,85.89572
564,88.08054
565,90.1581
566,92.11913
567,93.81438
568,95.40216
569,96.7193
570,97.89309
571,98.75865
572,99.4851
573,99.86932
574,100
575,99.97678
576,99.64554
577,99.0331
578,98.20343
579,97.18375
580,95.95507
581,94.5005
582,92.8517
583,90.98968
584,89.04321
585,86.94897
586,84.73016
587,82.35113
588,79.93388
589,77.48898
590,74.98306
591,72.3927
592,69.81944
593,67.25652
594,64.6176
595,62.08403
596,59.43878
597,56.92674
598,54.40794
599,51.96557
600,49.55022
601,47.18153
602,44.86161
603,42.60058
604,40.41746
605,38.32321
606,36.26929
607,34.2255
608,32.3297
609,30.38978
610,28.6692
611,26.91063
612,25.2954
613,23.7606
614,22.28725
615,20.86223
616,19.5491
617,18.35399
618,17.11919
619,15.99585
620,14.91939
621,13.96727
622,13.02781
623,12.18758
624,11.33869
625,10.56623
626,9.837675
627,9.151557
628,8.522438
629,7.971643
630,7.361314
631,6.844086
632,6.413415
633,5.942632
634,5.476071
635,5.138501
636,4.705719
637,4.414382
638,4.036489
639,3.783153
640,3.449594
641,3.227713
642,2.983033
643,2.799364
644,2.585928
645,2.385582
646,2.199802
647,2.041256
648,1.89981
649,1.743586
650,1.615018
651,1.530361
652,1.350915
653,1.279347
654,1.15669
655,1.0448
656,0.9837886
657,0.9244657
658,0.7999088
659,0.7471305
660,0.6671185
661,0.5953399
662,0.5298947
663,0.4769052
664,0.4264491
665,0.3884487
666,0.329337
667,0.2953477
668,0.2404582
669,0.2005578
670,0.1393349
671,0.1308903
672,8.23E-02
673,0
674,-1.48E-02
675,-4.41E-02
Data Copyright MP Inc.
