# wl,ex, wl,em
450,1.503576,540,3.034952
451,1.797127,541,3.074773
452,1.855044,542,3.370349
453,1.896229,543,3.873745
454,1.91961,544,4.628088
455,1.986857,545,5.18543
456,2.00509,546,5.954349
457,2.127573,547,7.097283
458,2.210587,548,8.064255
459,2.334249,549,9.6069
460,2.405465,550,11.07186
461,2.502528,551,12.7538
462,2.626191,552,14.6933
463,2.7328,553,16.66647
464,2.928215,554,18.89959
465,3.044262,555,21.52717
466,3.182511,556,24.14903
467,3.45075,557,27.10404
468,3.687886,558,30.35869
469,3.819699,559,33.46682
470,4.072601,560,36.9691
471,4.328614,561,40.62136
472,4.571541,562,44.3534
473,4.704427,563,48.49357
474,4.990363,564,52.63629
475,5.295068,565,56.31063
476,5.529737,566,59.96754
477,5.723329,567,63.82747
478,5.940194,568,67.62968
479,6.057958,569,72.23312
480,6.590575,570,76.12445
481,6.764967,571,80.35148
482,7.321716,572,83.61589
483,7.64562,573,86.61538
484,8.244734,574,89.15594
485,8.555552,575,92.09322
486,9.032934,576,93.51325
487,9.410678,577,96.05112
488,9.769546,578,97.35198
489,10.29605,579,98.41408
490,10.83038,580,99.36783
491,11.21735,581,99.56693
492,11.96887,582,100
493,12.54181,583,99.51073
494,13.07679,584,98.59605
495,13.74369,585,97.70451
496,14.42056,586,97.05461
497,15.08864,587,96.17269
498,15.85828,588,94.36421
499,16.57838,589,91.78954
500,17.44959,590,89.67301
501,18.45466,591,88.18987
502,19.4239,592,86.05157
503,20.21436,593,83.24067
504,21.26018,594,80.91633
505,22.17976,595,78.75353
506,23.25111,596,76.51485
507,24.38541,597,74.43965
508,25.37428,598,71.9649
509,26.06478,599,70.03922
510,26.8725,600,68.05163
511,27.74618,601,66.1766
512,28.59487,602,64.35731
513,29.385,603,62.02621
514,30.41162,604,60.04869
515,31.09858,605,57.87582
516,31.54904,606,56.44903
517,32.33488,607,54.39863
518,32.91845,608,52.7281
519,33.61569,609,51.2947
520,34.25428,610,49.79398
521,35.05535,611,48.1173
522,35.81663,612,46.50328
523,36.34474,613,45.46132
524,37.3098,614,43.97908
525,38.40593,615,42.89475
526,39.16624,616,41.96519
527,40.29068,617,41.10897
528,41.39999,618,40.06221
529,42.76403,619,39.61066
530,44.27726,620,38.59981
531,45.95502,621,37.64185
532,47.67202,622,37.08045
533,49.57501,623,36.52131
534,51.69218,624,35.71918
535,54.08949,625,35.02164
536,56.20387,626,34.59683
537,58.65739,627,34.00373
538,61.58013,628,33.35081
539,64.1882,629,32.68242
540,67.70555,630,32.12268
541,71.31161,631,31.50102
542,74.49626,632,30.91032
543,77.7458,633,30.1979
544,80.50092,634,30.06717
545,83.55183,635,29.33762
546,86.22853,636,28.97292
547,89.00316,637,28.30859
548,91.47395,638,27.52539
549,93.28448,639,26.78007
550,95.13609,640,26.63025
551,97.5112,641,25.75134
552,98.62106,642,24.98753
553,99.55093,643,24.4685
554,100,644,24.30636
555,99.91731,645,23.01647
556,99.21384,646,22.4988
557,98.53429,647,21.7987
558,97.86514,648,21.02032
559,95.97341,649,20.55329
560,93.93389,650,19.97581
561,91.40798,651,19.42793
562,88.11972,652,18.69387
563,84.98623,653,17.79407
564,81.0685,654,17.37272
565,77.61528,655,16.9655
566,73.12353,656,16.15135
567,68.49783,657,15.58619
568,64.21436,658,15.29017
569,60.62548,659,14.82434
570,56.46804,660,14.57414
571,52.15669,661,13.86187
572,48.14447,662,13.73114
573,44.57821,663,13.2028
574,40.62166,664,12.84546
575,37.15289,665,12.58024
576,33.94003,666,12.09217
577,30.65305,667,11.92237
578,27.38388,668,11.76414
579,24.88028,669,11.29455
580,22.37582,670,10.90446
581,19.99041,671,10.79446
582,17.74443,672,10.52398
583,15.49824,673,10.23216
584,13.49915,674,9.962282
585,12.18541,675,9.635602
586,10.66575,676,9.423724
587,9.194028,677,9.322444
588,7.975208,678,9.203132
589,7.11622,679,8.75879
590,6.246293,680,8.470277
591,5.591515,681,8.433763
592,4.890725,682,8.120455
593,4.294293,683,7.990773
594,3.81541,684,7.879726
595,3.449141,685,7.522089
596,2.980983,686,7.412695
597,2.642386,687,7.480766
598,2.337359,688,7.107201
599,2.114166,689,6.869027
600,1.891617,690,6.713951
,,691,6.599447
,,692,6.704935
,,693,6.441816
,,694,6.172687
,,695,6.166526
,,696,6.105067
,,697,5.909119
,,698,5.69093
,,699,5.781992
,,700,5.473493
Data Copyright MP Inc.
