# wl,abs, wl,em
300,15.02519,530,2.847657
301,14.78514,531,3.9263
302,14.38042,532,5.163272
303,13.80263,533,6.273722
304,13.10483,534,7.353027
305,12.32174,535,8.480259
306,11.48312,536,9.668659
307,10.69739,537,11.26433
308,9.883605,538,13.12329
309,9.128718,539,15.4047
310,8.442075,540,17.90545
311,7.836378,541,20.72994
312,7.278132,542,24.33002
313,6.765942,543,28.30808
314,6.306784,544,32.70373
315,5.920199,545,37.77385
316,5.586647,546,43.10231
317,5.25449,547,49.12112
318,5.031192,548,55.38071
319,4.838597,549,61.21329
320,4.699036,550,68.10367
321,4.599947,551,74.04431
322,4.556683,552,79.79726
323,4.528771,553,85.35082
324,4.485507,554,89.71742
325,4.478528,555,93.46285
326,4.489694,556,96.40255
327,4.474342,557,98.35699
328,4.432473,558,99.73414
329,4.464572,559,100
330,4.474342,560,99.25238
331,4.509232,561,98.53318
332,4.558078,562,96.71335
333,4.606925,563,94.61324
334,4.71997,564,92.19083
335,4.791146,565,89.73142
336,4.926521,566,86.46462
337,5.071665,567,83.70071
338,5.226578,568,80.46985
339,5.335436,569,77.28603
340,5.428942,570,74.19939
341,5.493141,571,70.99153
342,5.48058,572,67.72285
343,5.388469,573,65.18612
344,5.226578,574,62.18832
345,4.990719,575,59.97304
346,4.706014,576,57.30756
347,4.366879,577,54.82893
348,3.999832,578,52.85338
349,3.639764,579,50.86864
350,3.264344,580,48.90731
351,2.909857,581,47.56171
352,2.604218,582,45.71115
353,2.298578,583,44.79214
354,2.059928,584,43.29376
355,1.829651,585,42.3294
356,1.617518,586,41.31613
357,1.448648,587,40.36723
358,1.303365,588,39.78472
359,1.218372,589,39.37527
360,1.115096,590,38.65106
361,1.028568,591,38.22469
362,0.9922823,592,37.52848
363,0.953205,593,37.28185
364,0.9029629,594,36.87867
365,0.8876112,595,36.48636
366,0.8708637,596,36.07942
367,0.8959848,597,35.72892
368,0.8959848,598,35.25635
369,0.8973804,599,34.87177
370,0.8987761,600,34.14108
371,0.935062,601,33.68168
372,0.9434357,602,33.18403
373,0.9615787,603,32.51291
374,0.9811173,604,31.76675
375,1.025777,605,31.07869
376,1.038337,606,30.3551
377,1.080206,607,29.60874
378,1.105327,608,28.74595
379,1.112305,609,27.76382
380,1.162547,610,26.96938
381,1.186273,611,26.13857
382,1.254658,612,25.17609
383,1.300713,613,24.46567
384,1.293735,614,23.45344
385,1.376076,615,22.76372
386,1.390033,616,21.82631
387,1.420736,617,21.05696
388,1.447253,618,20.15813
389,1.501682,619,19.34528
390,1.551924,620,18.57623
391,1.577045,621,17.96652
392,1.603562,622,17.04843
393,1.641243,623,16.4153
394,1.663573,624,15.7272
395,1.713815,625,15.13055
396,1.731958,626,14.45114
397,1.780805,627,13.92867
398,1.82686,628,13.25484
399,1.857564,629,12.74006
400,1.896641,630,12.23275
401,1.917575,631,11.73092
402,1.956652,632,11.19101
403,2.016664,633,10.81488
404,2.027829,634,10.31201
405,2.050158,635,9.976027
406,2.103192,636,9.571177
407,2.115752,637,9.236472
408,2.161808,638,8.904902
409,2.188324,639,8.584764
410,2.203676,640,8.247529
411,2.21205,641,7.965472
412,2.235775,642,7.742983
413,2.242753,643,7.502268
414,2.259501,644,7.200188
415,2.279039,645,6.990093
416,2.272061,646,6.741018
417,2.279039,647,6.611558
418,2.274853,648,6.456913
419,2.284622,649,6.214422
420,2.26927,650,6.11044
421,2.286017,651,5.977615
422,2.302765,652,5.743442
423,2.309743,653,5.66289
424,2.306952,654,5.467405
425,2.301369,655,5.405371
426,2.334864,656,5.201024
427,2.34882,657,5.081806
428,2.34882,658,4.973456
429,2.34882,659,4.807441
430,2.392084,660,4.745428
431,2.414414,661,4.639001
432,2.400458,662,4.391368
433,2.440931,663,4.402696
434,2.464656,664,4.159348
435,2.484195,665,4.095956
436,2.502337,666,3.987627
437,2.523272,667,3.831226
438,2.583283,668,3.805141
439,2.595844,669,3.641133
440,2.662833,670,3.503313
441,2.718658,671,3.422615
442,2.761922,672,3.21461
443,2.831703,673,3.222991
444,2.907066,674,2.974731
445,2.979638,,
446,3.126178,,
447,3.251783,,
448,3.394136,,
449,3.51695,,
450,3.648138,,
451,3.871436,,
452,4.043097,,
453,4.271977,,
454,4.464572,,
455,4.711596,,
456,4.976763,,
457,5.234952,,
458,5.497328,,
459,5.772264
460,6.031848
461,6.319345
462,6.551016
463,6.810601
464,7.064603
465,7.321396
466,7.582376
467,7.86429
468,8.123875
469,8.404393
470,8.711429
471,9.065915
472,9.407841
473,9.805592
474,10.22428
475,10.75042
476,11.29053
477,11.89483
478,12.541
479,13.3365
480,14.1641
481,15.06706
482,16.04818
483,17.13536
484,18.27697
485,19.4772
486,20.72767
487,22.0256
488,23.31096
489,24.64377
490,25.94727
491,27.17123
492,28.33796
493,29.38049
494,30.363
495,31.19199
496,31.88561
497,32.43967
498,32.83603
499,33.09422
500,33.28123
501,33.37194
502,33.37334
503,33.36217
504,33.36776
505,33.43475
506,33.5785
507,33.81715
508,34.2149
509,34.78291
510,35.5533
511,36.54697
512,37.80442
513,39.25586
514,41.01154
515,43.03798
516,45.37284
517,47.93937
518,50.859
519,53.96843
520,57.36675
521,60.96046
522,64.78445
523,68.78707
524,72.83157
525,77.01422
526,81.1271
527,85.15344
528,88.80577
529,92.25574
530,95.15024
531,97.52418
532,99.1389
533,100
534,99.94836
535,98.99655
536,97.1348
537,94.40218
538,90.72055
539,86.41369
540,81.33365
541,75.81818
542,69.84914
543,63.80473
544,57.62913
545,51.56937
546,45.81106
547,40.34164
548,35.22951
549,30.47744
550,26.34363
551,22.59082
552,19.30554
553,16.34963
554,13.82636
555,11.61431
556,9.72604
557,8.162952
558,6.827349
559,5.680153
560,4.717178
561,3.910513
562,3.261552
563,2.718658
564,2.248336
565,1.892454
566,1.60077
567,1.331417
568,1.119144
569,0.9657656
570,0.8136436
571,0.7019944
572,0.612675
573,0.5107951
574,0.449388
575,0.3991459
576,0.3670467
577,0.3000572
578,0.2763318
579,0.2721449
580,0.2498151
581,0.2107379
582,0.2093422
583,0.1995729
584,0.2079466
585,0.1953861
586,0.1856168
587,0.1688694
588,0.1730563
589,0.1660782
590,0.1772431
591,0.1674738
592,0.1367703
593,0.1507264
594,0.1549133
595,0.152122
596,0.1437483
597,0.1563089
598,0.1423527
599,0.1591001
600,0.170265
Data Copyright MP Inc.
