# wl,ex, wl,em
350,0.4253964,480,1.534257
351,0.6180262,481,0.9648563
352,0.4792361,482,0.9561118
353,0.904168,483,1.018413
354,0.9536704,484,1.262941
355,0.8601793,485,1.53278
356,0.9254854,486,1.88216
357,0.8092927,487,2.292399
358,1.009722,488,2.915561
359,1.148865,489,3.625441
360,1.180923,490,4.400453
361,0.9219868,491,5.45594
362,0.8115897,492,6.72723
363,0.7608256,493,8.132192
364,0.7838391,494,9.94593
365,0.9934072,495,11.8794
366,0.8673313,496,14.05568
367,0.9274726,497,16.39579
368,0.8247267,498,19.00826
369,0.7968351,499,22.45444
370,0.9588466,500,26.09812
371,0.9867128,501,29.25282
372,0.725581,502,33.99224
373,0.7904203,503,37.54683
374,0.7103227,504,41.89652
375,0.9272716,505,46.20787
376,0.7978172,506,51.12433
377,0.7152539,507,55.95016
378,0.8415125,508,59.57214
379,0.7923545,509,64.04723
380,0.8085972,510,68.59813
381,0.7917143,511,73.30545
382,0.823562,512,77.12437
383,0.6869672,513,80.93763
384,0.651919,514,84.08819
385,0.7443171,515,87.41345
386,0.6425209,516,90.10305
387,0.7099969,517,92.58654
388,0.6815622,518,94.47312
389,0.8846762,519,96.9283
390,0.8500994,520,97.94698
391,0.7300525,521,98.77916
392,0.7838321,522,99.41616
393,0.8932586,523,99.55036
394,0.8807641,524,100
395,0.9978741,525,99.90022
396,1.002348,526,98.60532
397,0.9698853,527,98.04108
398,0.9381348,528,97.74917
399,1.091936,529,96.80587
400,1.109336,530,94.43174
401,1.223798,531,93.74943
402,1.250308,532,91.7683
403,1.349777,533,90.90604
404,1.50976,534,89.53402
405,1.455772,535,88.48877
406,1.658648,536,87.18559
407,1.829076,537,84.93694
408,1.734595,538,84.33218
409,2.038466,539,82.29092
410,2.359485,540,81.09013
411,2.325562,541,79.8157
412,2.309192,542,78.74735
413,2.336793,543,77.08124
414,2.686812,544,76.02292
415,2.803185,545,75.32492
416,3.376615,546,74.20387
417,3.386482,547,73.24489
418,3.793417,548,71.68333
419,4.157949,549,71.36004
420,4.580829,550,69.76625
