# wl,abs, wl,em
250,0.004142845,580,1.749914471
251,0.008285691,581,1.980841601
252,0.13257105,582,2.27505987
253,0.277570636,583,2.603489566
254,0.447427293,584,3.012316114
255,0.832711907,585,3.433116661
256,1.060568398,586,3.927471776
257,1.536995609,587,4.495381457
258,1.96785152,588,5.14197742
259,2.469135802,589,5.908313377
260,2.991134311,590,6.727677044
261,3.484132902,591,7.67362299
262,4.072416936,592,8.754704071
263,4.581986909,593,9.887102292
264,5.079128345,594,11.13581936
265,5.625983926,595,12.61888471
266,6.15212528,596,14.31577147
267,6.649266716,597,16.10673965
268,7.183693761,598,18.02942183
269,7.693263734,599,20.15053028
270,8.1199768,600,22.494013
271,8.600546856,601,25.07697571
272,9.201259425,602,27.77967841
273,9.669400945,603,30.73896681
274,10.13754246,604,33.83510092
275,10.51039854,605,37.15360931
276,11.01996851,606,40.59185768
277,11.35968183,607,44.33800889
278,11.61239539,608,48.30653438
279,11.8692518,609,52.25795416
280,11.88168034,610,56.26069107
281,12.0059657,611,60.4173794
282,12.051537,612,64.45432775
283,11.97282293,613,68.55969894
284,12.08467976,614,72.7505987
285,12.30425056,615,76.61648991
286,12.51139282,616,80.39685255
287,12.90496313,617,84.04036948
288,13.35239042,618,87.34177215
289,13.90338885,619,90.52343483
290,14.55795841,620,93.34587752
291,15.17109951,621,95.55251454
292,15.90438313,622,97.36572015
293,16.69152374,623,98.92234006
294,17.6112354,624,99.7434143
295,18.31966194,625,100
296,19.17723092,626,99.72630859
297,19.97265722,627,99.00786863
298,20.55265556,628,97.74204584
299,21.23622504,629,95.94594595
300,21.78722347,630,93.75641464
301,22.24293645,631,91.34450907
302,22.53293562,632,88.72733493
303,22.89750601,633,85.75094081
304,23.17507664,634,82.38111529
305,23.41950452,635,78.87444406
306,23.66807523,636,75.05987
307,23.83378905,637,71.17687308
308,24.20664512,638,67.25966473
309,24.39721601,639,63.30824495
310,24.6706438,640,59.44235375
311,24.99792858,641,55.86725966
312,25.29621344,642,52.36058844
313,25.46192725,643,48.99076291
314,25.61521253,644,45.92884023
315,25.70221228,645,42.96955183
316,25.8140691,646,40.16421485
317,25.75192642,647,37.82073212
318,25.65664098,648,35.68251796
319,25.42464164,649,33.71536093
320,25.16364239,650,31.83373247
321,24.72035794,651,30.17447828
322,24.26464496,652,28.73759836
323,23.79236059,653,27.48888129
324,23.10050543,654,26.39411563
325,22.49565001,655,25.33356141
326,21.88665175,656,24.44406432
327,21.10365399,657,23.53746151
328,20.55679841,658,22.76770441
329,20.07622835,659,22.15189873
330,19.34708758,660,21.50188163
331,18.68423233,661,20.92028738
