# wl,abs, wl,em
400,1.146583,540,6.363401
401,1.056655,541,3.470946
402,1.079137,542,1.667589
403,1.079137,543,0.7087253
404,1.034173,544,0.4205866
405,1.079137,545,0.3364693
406,1.056655,546,0.3394208
407,1.056655,547,0.3818484
408,1.011691,548,0.4279653
409,1.011691,549,0.4707619
410,0.9892086,550,0.5179856
411,0.9217626,551,0.5611511
412,0.9217626,552,0.653016
413,0.8767985,553,0.7400848
414,0.8318346,554,0.8341634
415,0.7643885,555,0.9219701
416,0.7194244,556,1.106807
417,0.6744604,557,1.294595
418,0.6519784,558,1.517801
419,0.6070144,559,1.800406
420,0.6519784,560,2.070467
421,0.6070144,561,2.45047
422,0.6294964,562,2.722745
423,0.6070144,563,3.248109
424,0.5845324,564,3.614093
425,0.5845324,565,4.24276
426,0.6070144,566,4.888397
427,0.5845324,567,5.671278
428,0.5620503,568,6.554511
429,0.5845324,569,7.684191
430,0.5620503,570,8.902416
431,0.5845324,571,10.15311
432,0.5845324,572,11.66427
433,0.6070144,573,13.22265
434,0.5620503,574,14.94411
435,0.6070144,575,16.70504
436,0.6070144,576,18.753
437,0.6519784,577,20.91127
438,0.6519784,578,23.35731
439,0.6519784,579,26.19517
440,0.6744604,580,29.28832
441,0.7194244,581,32.67737
442,0.7194244,582,36.32983
443,0.7868705,583,40.02951
444,0.7868705,584,43.97713
445,0.8318346,585,48.13503
446,0.8767985,586,52.0605
447,0.8543165,587,55.83841
448,0.8992806,588,59.42077
449,0.9442446,589,63.6746
450,0.9442446,590,67.7292
451,0.9892086,591,71.58458
452,1.056655,592,75.68714
453,1.079137,593,79.44659
454,1.124101,594,83.34994
455,1.169065,595,87.41192
456,1.236511,596,90.29699
457,1.303957,597,92.93858
458,1.348921,598,95.08208
459,1.416367,599,96.77182
460,1.483813,600,98.01881
461,1.528777,601,98.96697
462,1.618705,602,99.31378
463,1.686151,603,99.61263
464,1.798561,604,100
465,1.910971,605,99.49825
466,1.978417,606,98.24387
467,2.090827,607,96.58734
468,2.203238,608,94.73161
469,2.293165,609,92.42207
470,2.428058,610,90.61797
471,2.540468,611,88.75484
472,2.697842,612,86.22764
473,2.832734,613,83.70042
474,3.01259,614,81.02196
475,3.169964,615,78.66077
476,3.327338,616,76.11511
477,3.529676,617,73.53994
478,3.709532,618,70.25641
479,3.889389,619,67.12784
480,4.114209,620,64.71869
481,4.339029,621,61.87788
482,4.563849,622,59.56466
483,4.833633,623,56.75337
484,5.035971,624,54.74635
485,5.305756,625,52.44051
486,5.530575,626,50.75447
487,5.80036,627,48.92825
488,6.070144,628,46.59288
489,6.36241,629,44.88102
490,6.632195,630,43.25401
491,6.946942,631,41.43516
492,7.239209,632,39.97049
493,7.576439,633,38.27707
494,7.936152,634,36.83084
495,8.318345,635,35.58384
496,8.70054,636,34.42833
497,9.082733,637,33.31046
498,9.509892,638,32.34422
499,9.959533,639,31.41929
500,10.36421,640,30.5368
501,10.90378,641,29.58273
502,11.3759,642,28.78768
503,11.91547,643,27.92253
504,12.47752,644,27.09463
505,13.03957,645,26.2542
506,13.60162,646,25.40122
507,14.20863,647,24.86774
508,14.86061,648,24.228
509,15.51259,649,23.39495
510,16.23201,650,23.10459
511,16.95144,651,22.44604
512,17.76079,652,21.82623
513,18.54766,653,21.25807
514,19.42446,654,20.80723
515,20.27878,655,20.14388
516,21.20054,656,19.4798
517,22.1223,657,18.91311
518,23.08903,658,18.42501
519,24.03327,659,17.76277
520,24.97752,660,17.35141
521,25.89928,661,16.92677
522,26.84352,662,16.46929
523,27.81025,663,15.95278
524,28.77698,664,15.42151
525,29.74371,665,15.08799
526,30.73291,666,14.52942
527,31.72212,667,14.02841
528,32.77877,668,13.66021
529,33.79047,669,13.06032
530,34.82464,670,12.59472
531,35.90378,671,12.19258
532,36.98291,672,11.76093
533,38.10701,673,11.33481
534,39.23112,674,10.9762
535,40.35522,675,10.68733
536,41.54676,676,10.28002
537,42.76079,677,9.973067
538,43.9973,678,9.658734
539,45.32374,679,9.173215
540,46.60522,680,8.842649
541,47.90917,681,8.626084
542,49.30306,682,8.195168
543,50.67446,683,8.011068
544,52.13579,684,7.597122
545,53.64209,685,7.31378
546,55.17086,686,7.142225
547,56.83453,687,6.935252
548,58.52069,688,6.634201
549,60.27428,689,6.353071
