# wl,abs, wl,em
250,31.13652,525,1.796847
251,31.9083,526,1.950898
252,32.60098,527,2.242771
253,33.1229,528,2.59437
254,33.57717,529,3.058996
255,33.8428,530,3.62413
256,33.91368,531,4.274058
257,33.83169,532,4.993454
258,33.55284,533,5.809408
259,32.92476,534,6.764903
260,31.92763,535,7.822505
261,30.58883,536,9.058984
262,29.11181,537,10.52019
263,27.37029,538,12.10797
264,25.57094,539,13.95549
265,23.94894,540,15.99245
266,22.52654,541,18.39506
267,21.31821,542,21.02756
268,20.35652,543,23.77827
269,19.63807,544,26.72674
270,19.12742,545,29.98027
271,18.74419,546,33.79118
272,18.52978,547,37.43386
273,18.34775,548,41.30836
274,18.3107,549,45.46276
275,18.30104,550,49.66345
276,18.25287,551,53.99935
277,18.14494,552,58.80464
278,18.09324,553,63.17609
279,17.95486,554,67.7997
280,17.75511,555,71.83073
281,17.6293,556,75.74094
282,17.43294,557,79.88266
283,17.24446,558,83.63113
284,17.07516,559,87.1727
285,16.89812,560,89.95731
286,16.64989,561,92.5957
287,16.4743,562,95.25742
288,16.29388,563,97.11304
289,16.07335,564,98.26038
290,15.92676,565,99.6008
291,15.85089,566,99.83271
292,15.7494,567,100
293,15.87505,568,99.81473
294,15.88327,569,99.2448
295,15.97026,570,98.25036
296,16.19562,571,97.0026
297,16.39215,572,95.57424
298,16.54196,573,93.74454
299,16.75943,574,91.54476
300,16.92212,575,89.58366
301,17.04471,576,87.38844
302,17.21369,577,85.1577
303,17.32807,578,82.63196
304,17.35062,579,79.87283
305,17.46999,580,77.21426
306,17.41844,581,74.61727
307,17.29424,582,71.5672
308,16.96884,583,68.91839
309,16.50491,584,66.40603
310,15.76713,585,63.90789
311,15.09539,586,61.26019
312,14.21585,587,58.85356
313,13.143,588,56.49683
314,12.11526,589,54.04535
315,11.12151,590,52.10576
316,9.977625,591,50.01183
317,9.072472,592,47.9079
318,8.139773,593,46.16556
319,7.27457,594,44.28543
320,6.554668,595,42.74018
321,5.903711,596,41.50932
322,5.328789,597,40.05062
323,4.983899,598,38.7339
324,4.576508,599,37.35845
325,4.222115,600,36.19172
326,4.077136,601,35.2402
327,3.978872,602,34.29496
328,3.77574,603,33.42046
329,3.690524,604,32.49389
330,3.675865,605,31.81042
331,3.801675,606,30.97721
332,3.983705,607,30.37866
333,4.186514,608,29.77645
334,4.3621,609,29.05075
335,4.629506,610,28.17483
336,4.954903,611,27.68676
337,5.233747,612,27.15529
338,5.557373,613,26.61329
339,5.831383,614,26.06671
340,6.129235,615,25.29914
341,6.490233,616,24.73081
342,6.714145,617,24.30555
343,6.981551,618,23.61508
344,7.2554,619,23.23983
345,7.498482,620,22.49633
346,7.77072,621,22.0594
347,8.068894,622,21.57728
348,8.431342,623,20.95338
349,8.75835,624,20.36526
350,9.222283,625,19.92742
351,9.586342,626,19.48078
352,10.05833,627,18.86919
353,10.43189,628,18.25133
354,10.85733,629,17.73756
355,11.17467,630,17.14462
356,11.4403,631,16.58316
357,11.53551,632,16.22106
358,11.52745,633,15.69596
359,11.48235,634,15.07255
360,11.28566,635,14.50195
361,11.00698,636,14.07244
362,10.6703,637,13.65801
363,10.26613,638,13.09444
364,9.753874,639,12.5109
365,9.222283,640,12.20687
366,8.734026,641,11.78864
367,8.168769,642,11.14927
368,7.704835,643,10.78811
369,7.123308,644,10.38683
370,6.630218,645,9.960606
371,6.17595,646,9.562673
372,5.774841,647,9.231194
373,5.367289,648,9.029815
374,5.058,649,8.704459
375,4.722937,650,8.238355
376,4.447638,651,7.962168
377,4.228397,652,7.612107
378,4.030259,653,7.263826
379,3.800064,654,7.017381
380,3.655085,655,6.693051
381,3.542162,656,6.513179
382,3.471284,657,6.2404
383,3.366576,658,6.00958
384,3.252365,659,5.739576
385,3.363516,660,5.427855
386,3.307135,661,5.33341
387,3.33452,662,5.08241
388,3.327915,663,4.974571
389,3.387518,664,4.684961
390,3.377853,665,4.597393
391,3.455175,666,4.441442
392,3.443899,667,4.23599
393,3.484332,668,4.159643
394,3.516388,669,4.091532
395,3.574541,670,4.024053
396,3.545545,671,3.94647
397,3.598543,672,3.773506
398,3.558271,673,3.705424
399,3.579374,674,3.557225
400,3.553438,675,3.511616
401,3.514777,676,3.426944
402,3.498668,677,3.359406
403,3.489164,678,3.273738
404,3.418286,679,3.129762
405,3.390901,680,3.074832
406,3.336131,681,3.029163
407,3.329687,682,2.914598
408,3.255426,683,2.809655
409,3.289254,684,2.811193
410,3.223369,685,2.730563
411,3.239317,686,2.621578
412,3.160384,687,2.56131
413,3.179876,688,2.523634
414,3.129938,689,2.424784
415,3.105614,690,2.335256
416,3.046173,691,2.236919
417,3.042951,692,2.279783
418,2.959185,693,2.203617
419,2.954353,694,2.071195
420,2.846262,695,2.059793
421,2.783438,696,2.050079
422,2.738495,697,1.955121
423,2.670838,698,1.874219
424,2.559687,699,1.863451
425,2.427434,700,1.747468
426,2.353333,701,1.725598
427,2.234128,702,1.698058
428,2.137476,703,1.636673
429,2.01827,704,1.540961
430,1.952386,705,1.590612
431,1.828348,706,1.488263
432,1.794519,707,1.407663
433,1.681758,708,1.403199
434,1.631821,709,1.341452
435,1.554499,710,1.344468
436,1.480237,711,1.289146
437,1.409519,712,1.237172
438,1.380363,713,1.149786
439,1.294986,714,1.140947
440,1.274205,715,1.097601
441,1.241988,716,1.005237
442,1.233934,717,1.071056
443,1.193662,718,1.018539
444,1.249881,719,0.9674402
445,1.22894,720,0.921952
446,1.293536,721,0.882014
447,1.312867,722,0.9011686
448,1.398082,723,0.8625578
449,1.44657,724,0.8399343
450,1.494735,725,0.780691
451,1.554499,,
452,1.684819,,
453,1.771806,,
454,1.853961,,
455,1.984442,,
456,2.118306,,
457,2.268118
458,2.421152
459,2.599959
460,2.772162
461,2.989631
462,3.266702
463,3.453564
464,3.705022
465,3.943432
466,4.223564
467,4.444255
468,4.722937
469,4.990504
470,5.246634
471,5.541425
472,5.808831
473,6.132617
474,6.456243
475,6.76231
476,7.134423
477,7.505086
478,7.882032
479,8.294417
480,8.719528
481,9.218901
482,9.694271
483,10.29352
484,10.84927
485,11.50973
486,12.19275
487,12.9563
488,13.74724
489,14.65578
490,15.56109
491,16.53229
492,17.55842
493,18.63932
494,19.72022
495,20.87861
496,22.00783
497,23.12739
498,24.25984
499,25.37441
500,26.52135
501,27.60242
502,28.65271
503,29.6964
504,30.68225
505,31.64717
506,32.53799
507,33.46585
508,34.30029
509,35.11217
510,35.91117
511,36.75866
512,37.57698
513,38.48552
514,39.37955
515,40.38636
516,41.48175
517,42.69474
518,44.05739
519,45.61189
520,47.25031
521,49.10443
522,51.18392
523,53.33944
524,55.79425
525,58.32672
526,61.04105
527,63.86798
528,66.8531
529,69.95404
530,73.04371
531,76.2252
532,79.29537
533,82.46252
534,85.44088
535,88.33241
536,90.92608
537,93.35046
538,95.4686
539,97.1568
540,98.54554
541,99.48791
542,99.92107
543,100
544,99.51834
545,98.6082
546,97.16485
547,95.24951
548,92.81886
549,90.02222
550,86.70058
551,83.12281
552,79.25365
553,75.15718
554,70.82537
555,66.33762
556,61.93331
557,57.41319
558,53.0382
559,48.62745
560,44.46333
561,40.38136
562,36.57324
563,32.94876
564,29.53209
565,26.3266
566,23.3497
567,20.70947
568,18.2416
569,16.02664
570,14.00482
571,12.24751
572,10.62697
573,9.281886
574,7.967409
575,6.912122
576,5.918371
577,5.083935
578,4.34293
579,3.687141
580,3.160384
581,2.682114
582,2.274562
583,1.950614
584,1.631821
585,1.404687
586,1.180613
587,1.02613
588,0.8729355
589,0.7587241
590,0.6039186
591,0.533201
592,0.4508851
593,0.4091633
594,0.3332909
595,0.2897972
596,0.2189185
597,0.199749
598,0.1593159
599,0.1530335
600,0.106318
601,0.1238766
602,8.05E-02
