# wl,abs, wl,em
350,10.41756,540,6.93275
351,10.81146,541,7.505341
352,11.23233,542,8.474868
353,11.57709,543,9.55338
354,11.87259,544,10.74769
355,12.11884,545,12.2156
356,12.24518,546,13.67327
357,12.29443,547,15.46663
358,12.21092,548,17.53577
359,12.00096,549,19.57483
360,11.73544,550,21.88116
361,11.37998,551,24.44272
362,10.93886,552,27.32562
363,10.4454,553,30.21004
364,9.970985,554,33.88199
365,9.395075,555,37.32471
366,8.892826,556,41.49427
367,8.336082,557,45.3306
368,7.793255,558,49.09491
369,7.294433,559,53.32137
370,6.809422,560,57.55435
371,6.354283,561,61.70582
372,5.94636,562,66.18329
373,5.539507,563,70.31325
374,5.195931,564,74.49227
375,4.913169,565,77.87284
376,4.631692,566,81.05496
377,4.38758,567,84.81764
378,4.201178,568,87.66414
379,4.046039,569,90.73891
380,3.892827,570,93.32802
381,3.805032,571,95.02927
382,3.737687,572,96.61726
383,3.679872,573,98.19705
384,3.634904,574,98.7113
385,3.665846,575,99.13476
386,3.640257,576,99.77413
387,3.64454,577,99.58154
388,3.675482,578,99.5373
389,3.662741,579,98.41448
390,3.711884,580,97.2693
391,3.743041,581,96.3413
392,3.765525,582,94.918
393,3.815846,583,93.25388
394,3.854283,584,91.42675
395,3.894005,585,89.10403
396,3.960386,586,87.37191
397,3.982869,587,84.98492
398,4.020236,588,82.62283
399,4.042827,589,80.14789
400,4.076981,590,77.97573
401,4.078159,591,75.04292
402,4.088758,592,73.00097
403,4.083405,593,70.62616
404,4.084583,594,68.11414
405,4.055568,595,65.88569
406,4.06424,596,63.52861
407,4.013812,597,61.29936
408,3.955032,598,59.2653
409,3.927195,599,57.31932
410,3.920664,600,55.34145
411,3.839293,601,53.26839
412,3.830835,602,51.40354
413,3.77409,603,49.66304
414,3.762313,604,48.09313
415,3.72152,605,46.17843
416,3.686296,606,44.33191
417,3.656317,607,43.28624
418,3.618737,608,41.87969
419,3.585546,609,40.65923
420,3.567345,610,39.29517
421,3.520343,611,38.50069
422,3.472163,612,37.65293
423,3.423983,613,36.73536
424,3.386403,614,35.63865
425,3.335118,615,35.03302
426,3.266595,616,34.17242
427,3.228051,617,33.44805
428,3.160492,618,32.46965
429,3.081371,619,31.89634
430,3.005246,620,31.15961
431,2.93469,621,30.61336
432,2.856531,622,29.99623
433,2.783726,623,29.51399
434,2.700107,624,29.00476
435,2.637045,625,28.32216
436,2.550214,626,27.66457
437,2.494539,627,27.20012
438,2.405675,628,26.65984
439,2.374732,629,26.1438
440,2.293362,630,25.56421
441,2.296467,631,25.14063
442,2.194861,632,24.57775
443,2.178694,633,23.98532
444,2.116702,634,23.47024
445,2.121949,635,23.02586
446,2.091007,636,22.39209
447,2.107066,637,21.40737
448,2.126231,638,21.00808
449,2.15621,639,20.32783
450,2.163704,640,19.92752
451,2.22152,641,19.50406
452,2.277195,642,18.86661
453,2.354283,643,18.32633
454,2.432441,644,17.75693
455,2.518201,645,17.16306
456,2.611349,646,16.74039
457,2.745075,647,16.38426
458,2.859636,648,15.79009
459,3.009529,649,15.22744
460,3.145503,650,14.69349
461,3.345824,651,14.1936
462,3.511777,652,13.60491
463,3.755889,653,13.26856
464,3.938865,654,12.85721
