# wl,ex, wl,em
450,5.839126,520,0.6747634
451,5.76685,521,0.6312818
452,5.890959,522,0.6877192
453,6.187109,523,0.7767677
454,6.311334,524,0.8641745
455,6.483957,525,0.9376496
456,6.671023,526,1.091299
457,6.982257,527,1.183809
458,7.262099,528,1.373442
459,7.376074,529,1.542221
460,7.728658,530,1.762779
461,7.874665,531,2.00073
462,8.319967,532,2.320586
463,8.486475,533,2.712142
464,8.839583,534,3.179658
465,9.120648,535,3.659464
466,9.535375,536,4.169841
467,10.08988,537,4.853168
468,10.56371,538,5.51005
469,11.06912,539,6.320317
470,11.54401,540,7.198112
471,11.9981,541,8.204977
472,12.49174,542,9.418736
473,13.1085,543,10.66581
474,13.72119,544,12.00585
475,14.32461,545,13.58134
476,14.92454,546,15.38512
477,15.35307,547,17.40129
478,16.01508,548,19.60332
479,16.69247,549,22.14136
480,17.54323,550,24.70749
481,18.47437,551,27.52052
482,19.39718,552,30.59614
483,20.40007,553,33.88578
484,21.29557,554,37.33277
485,22.13824,555,40.99947
486,23.07404,556,45.12569
487,24.03208,557,49.00842
488,24.82222,558,53.22929
489,25.57212,559,57.42637
490,26.60605,560,61.59932
491,27.4072,561,65.9847
492,28.48067,562,70.69336
493,29.90982,563,74.72668
494,31.03857,564,78.77619
495,32.05019,565,82.48534
496,33.12244,566,86.14814
497,34.31677,567,88.92191
498,35.75529,568,92.27824
499,36.82376,569,94.62772
500,38.24913,570,96.77663
501,39.70459,571,98.33027
502,41.18196,572,99.38469
503,42.69952,573,100
504,43.81907,574,99.67233
505,45.71844,575,99.14705
506,47.2742,576,98.29108
507,48.88226,577,96.90886
508,50.66259,578,95.1089
509,51.97352,579,92.91436
510,53.83049,580,90.40166
511,55.28765,581,87.60761
512,56.81557,582,84.65871
513,58.71535,583,81.40665
514,60.67984,584,78.5685
515,61.99903,585,75.26993
516,63.99253,586,71.88817
517,65.72498,587,68.71806
518,67.28873,588,65.56994
519,69.20051,589,62.69439
520,70.94054,590,59.93823
521,72.29356,591,57.15976
522,74.03436,592,54.62048
523,75.74422,593,52.49595
524,77.32793,594,50.27932
525,79.03262,595,48.30761
526,80.60007,596,46.29348
527,82.15188,597,44.56092
528,84.02808,598,42.92472
529,84.89771,599,41.3443
530,86.70461,600,40.02361
531,88.18227,601,38.79424
532,89.55242,602,37.41277
533,90.95285,603,36.19506
534,91.99464,604,35.14777
535,93.53596,605,34.33281
536,94.67822,606,33.28996
537,95.51483,607,32.36641
538,96.2833,608,31.49101
539,97.30361,609,30.6985
540,98.24081,610,29.9145
541,98.80964,611,29.11794
542,99.13799,612,28.34428
543,99.8176,613,27.68806
544,100,614,27.13988
545,99.88311,615,26.26129
546,99.38248,616,25.61204
547,99.23979,617,25.00156
548,98.32951,618,24.19032
549,97.47461,619,23.65905
550,96.10655,620,22.95101
551,94.84222,621,22.36667
552,93.42088,622,21.81472
553,91.40759,623,21.43714
554,89.60302,624,20.8634
555,87.18584,625,20.36993
556,84.9817,626,19.60119
557,82.19672,627,18.99582
558,79.78484,628,18.35491
559,76.40349,629,17.84006
560,73.46291,630,17.30758
561,69.91511,631,16.68682
562,66.61407,632,16.18953
563,63.04141,633,15.57728
564,59.26304,634,15.00554
565,55.83895,635,14.51975
566,52.37152,636,13.9835
567,48.41034,637,13.43506
568,45.17844,638,12.87796
569,41.6077,639,12.27809
570,38.34085,640,11.96112
571,34.91582,641,11.49272
572,32.07291,642,11.06957
573,29.02434,643,10.72611
574,26.64455,644,10.23024
575,24.35165,645,9.782206
576,22.09736,646,9.436572
577,20.09816,647,9.010319
578,18.23017,648,8.65337
579,16.72805,649,8.389463
580,15.02343,650,8.030918
581,13.57833,651,7.603467
582,12.39198,652,7.366714
583,11.37272,653,7.084883
584,10.27694,654,6.776119
585,9.593206,655,6.590169
586,8.728811,656,6.281449
587,8.04426,657,6.068833
588,7.515791,658,5.828841
589,7.02914,659,5.649901
590,6.390191,660,5.406759
591,6.014719,661,5.144006
592,5.654388,662,5.084286
593,5.208504,663,4.707416
594,4.772637,664,4.563172
595,4.453425,665,4.458506
596,4.141026,666,4.285244
597,3.919541,667,4.1875
598,3.758041,668,4.089089
599,3.570567,669,3.962239
600,3.449254,670,3.857882
,,671,3.704011
,,672,3.7041
,,673,3.588474
,,674,3.514156
,,675,3.402169
,,676,3.31383
,,677,3.21085
,,678,3.129832
,,679,3.049081
,,680,2.96935
,,681,2.992244
,,682,2.862065
,,683,2.739474
,,684,2.629661
,,685,2.575708
,,686,2.437365
,,687,2.402314
,,688,2.351822
,,689,2.280033
,,690,2.232958
,,691,2.150742
,,692,2.165739
,,693,2.029703
,,694,2.026509
,,695,1.957604
,,696,1.830797
,,697,1.830753
,,698,1.846016
,,699,1.752131
,,700,1.708472
Data Copyright MP Inc.
