# wl ,ex, wl,em
500,5.182463,570,2.391657
501,5.659071,571,2.160404
502,5.875956,572,2.224237
503,6.150539,573,2.340365
504,6.428126,574,2.52321
505,6.92971,575,2.735275
506,7.25804,576,3.045911
507,7.647547,577,3.363068
508,8.062346,578,3.793719
509,8.345941,579,4.223618
510,8.876138,580,4.693521
511,9.391949,581,5.242934
512,9.940958,582,5.771404
513,10.44349,583,6.495008
514,10.89006,584,7.18864
515,11.379,585,7.756989
516,11.96595,586,8.824211
517,12.69675,587,10.1647
518,13.27358,588,11.52362
519,13.94399,589,12.83815
520,14.57109,590,14.39032
521,15.32513,591,16.21087
522,16.08912,592,18.00069
523,16.90908,593,19.84821
524,17.44023,594,21.93688
525,18.11301,595,24.21241
526,19.12883,596,26.44015
527,19.96775,597,28.99183
528,20.74645,598,31.93967
529,21.4499,599,34.87196
530,22.52515,600,38.11238
531,23.40044,601,41.11026
532,24.47885,602,44.4717
533,25.41405,603,48.14954
534,26.43603,604,51.76443
535,27.20192,605,55.72268
536,28.40648,606,59.50562
537,29.53043,607,63.33031
538,30.31039,608,67.16441
539,31.44255,609,70.83134
540,32.99694,610,74.54204
541,33.94146,611,78.82172
542,35.24862,612,81.90236
543,36.29194,613,85.22581
544,37.55799,614,89.32777
545,38.91036,615,92.00674
546,40.15871,616,94.58501
547,41.28265,617,96.77463
548,42.42667,618,98.48482
549,43.6189,619,98.88211
550,45.20839,620,99.3238
551,46.53641,621,99.75069
552,47.87518,622,99.61349
553,49.2462,623,98.78091
554,50.54071,624,97.36881
555,52.13889,625,95.62664
556,53.3591,626,92.33381
557,55.09844,627,89.80169
558,56.38062,628,86.10229
559,58.02338,629,83.08722
560,59.72305,630,80.10427
561,61.64165,631,77.16194
562,63.30638,632,73.52548
563,64.65353,633,70.09632
564,65.90409,634,66.424
565,67.86411,635,62.5657
566,69.51019,636,59.33556
567,71.15058,637,56.19848
568,73.19628,638,53.00434
569,74.40732,639,49.90174
570,75.52289,640,48.46106
571,77.44798,641,45.3789
572,79.1576,642,42.87199
573,80.82327,643,40.31129
574,82.72497,644,38.66368
575,83.59203,645,36.64022
576,85.6303,646,35.02183
577,87.09095,647,33.52847
578,88.76248,648,32.01667
579,90.66038,649,30.93039
580,92.13478,650,29.69086
581,92.81973,651,28.88925
582,93.8071,652,27.86228
583,95.84221,653,26.6684
584,96.29637,654,26.3999
585,97.04977,655,25.44905
586,97.57127,656,24.74476
587,98.63435,657,24.12098
588,99.3261,658,23.48491
589,99.13768,659,22.95218
590,100,660,22.61508
591,98.99999,661,22.24413
592,97.74437,662,21.77849
593,97.50677,663,21.30494
594,96.92663,664,20.79767
595,95.9233,665,20.25929
596,95.41334,666,20.10629
597,93.77991,667,19.80457
598,92.21635,668,19.74424
599,90.78842,669,19.26707
600,88.65546,670,18.93549
601,86.68943,671,18.6419
602,84.66665,672,18.29076
603,82.24567,673,17.77158
604,79.95605,674,17.42081
605,76.81503,675,17.40212
606,73.85404,676,16.77057
607,70.8341,677,16.56966
608,67.73828,678,16.24185
609,64.93681,679,16.02589
610,62.01804,680,15.40563
611,59.34903,681,15.42218
612,55.99001,682,14.86662
613,52.56491,683,14.753
614,49.11089,684,14.56339
615,46.01886,685,14.08056
616,43.13549,686,13.6844
617,40.38998,687,13.35508
618,36.85028,688,12.80893
619,33.90273,689,12.74246
620,31.45267,690,12.24095
621,28.73339,691,11.85294
622,26.1831,692,11.52048
623,24.08429,693,10.98449
624,21.12331,694,10.37062
625,18.82468,695,10.0255
626,16.92884,696,9.927803
627,14.94795,697,9.340265
628,13.18616,698,9.05283
629,12.04594,699,8.899833
630,10.93195,700,8.416636
631,9.970044,701,8.024861
632,9.002126,702,7.519216
633,8.330132,703,7.349413
634,7.781914,704,6.940959
635,7.163826,705,6.606997
,,706,6.634336
,,707,6.072634
,,708,5.91324
,,709,5.480708
,,710,5.350158
,,711,4.976944
,,712,4.919507
,,713,4.758734
,,714,4.586298
,,715,4.524346
,,716,4.472051
,,717,4.185744
,,718,4.014688
,,719,3.802874
,,720,3.848146
,,721,3.713959
,,722,3.428907
,,723,3.391034
,,724,3.194017
,,725,3.077012
,,726,3.023087
,,727,3.135703
,,728,2.967029
,,729,2.988599
,,730,2.875607
,,731,2.69063
,,732,2.87523
,,733,2.550423
,,734,2.537256
,,735,2.425768
,,736,2.628427
,,737,2.542523
,,738,2.334345
,,739,2.337982
,,740,2.375103
,,741,2.28644
,,742,2.063464
,,743,2.295594
,,744,2.057946
,,745,2.119145
,,746,2.247061
,,747,1.995367
,,748,1.981322
,,749,1.953481
,,750,1.92564
Data Copyright MP Inc.
