# wl,abs, wl,abs
250,21.03712,500,0.835279
251,20.15321,501,0.8173009
252,19.2693,502,0.8239402
253,18.56217,503,0.8015606
254,18.2086,504,0.8256559
255,17.97289,505,0.8395312
256,17.85504,506,0.8654915
257,17.91397,507,0.9467292
258,18.09075,508,0.9719436
259,18.32646,509,1.05333
260,18.56217,510,1.124497
261,18.97466,511,1.212822
262,19.62286,512,1.322407
263,20.15321,513,1.423787
264,20.80141,514,1.530388
265,21.68533,515,1.695399
266,22.33353,516,1.883537
267,22.9228,517,2.045117
268,23.62994,518,2.321057
269,24.16028,519,2.588791
270,24.80849,520,2.96708
271,25.6924,521,3.405196
272,26.3406,522,4.036076
273,26.92988,523,4.817868
274,27.63701,524,5.602569
275,28.16735,525,6.563472
276,28.63877,526,7.612103
277,29.16912,527,9.049914
278,29.52269,528,10.65154
279,29.87625,529,12.42311
280,30.22982,530,14.58124
281,30.34767,531,16.98107
282,30.34767,532,19.77807
283,30.22982,533,23.01572
284,30.05303,534,26.2609
285,29.58162,535,30.51369
286,28.93341,536,34.86994
287,28.40306,537,39.66721
288,27.46022,538,44.98303
289,26.22275,539,50.37896
290,25.27991,540,55.996
291,24.10135,541,62.10614
292,22.62817,542,68.03053
293,21.39069,543,73.81422
294,20.03536,544,79.26065
295,18.56217,545,84.22034
296,17.32469,546,88.67797
297,16.08721,547,92.76149
298,14.73188,548,96.14266
299,13.84797,549,98.54713
300,12.96405,550,99.68482
301,12.08014,551,100
302,11.43194,552,99.47751
303,10.96052,553,97.57816
304,10.43017,554,95.63316
305,9.958751,555,92.64436
306,9.546258,556,89.02933
307,9.25162,557,84.9467
308,9.192693,558,80.70235
309,9.074838,559,76.30536
310,8.839128,560,71.55687
311,8.898056,561,66.83553
312,8.898056,562,62.67936
313,8.956983,563,58.56712
314,8.956983,564,54.81436
315,9.01591,565,51.50398
316,9.074838,566,48.57465
317,9.192693,567,45.90462
318,9.192693,568,43.48174
319,9.074838,569,41.00648
320,9.074838,570,39.07864
321,9.01591,571,37.32811
322,9.25162,572,35.89082
323,9.192693,573,34.1849
324,9.133765,574,33.17297
325,9.310548,575,32.02192
326,9.428404,576,31.02327
327,9.369476,577,30.55397
328,9.487331,578,29.9677
329,9.664113,579,29.65095
330,9.664113,580,29.23126
331,9.723041,581,28.90728
332,9.546258,582,28.58658
333,9.487331,583,28.17278
334,9.369476,584,28.07469
335,9.133765,585,27.86507
336,9.192693,586,27.76809
337,9.192693,587,27.4036
338,9.074838,588,27.25731
339,9.01591,589,26.82315
340,9.01591,590,26.46612
341,8.839128,591,26.04837
342,8.956983,592,25.63711
343,9.074838,593,25.0125
344,8.956983,594,24.42951
345,8.956983,595,23.75723
346,8.721272,596,23.1359
347,8.603418,597,22.46459
348,8.662346,598,21.57224
349,8.603418,599,20.74218
350,8.54449,600,19.93674
351,8.54449,601,18.98651
352,8.485562,602,18.31072
353,8.426635,603,17.35541
354,8.426635,604,16.55139
355,8.308781,605,15.80563
356,8.190925,606,14.99459
357,8.131997,607,14.04585
358,8.073071,608,13.42504
359,8.073071,609,12.76171
360,8.131997,610,12.09062
361,8.131997,611,11.40745
362,8.014143,612,10.70958
363,8.014143,613,10.32227
364,8.190925,614,9.807759
365,8.131997,615,9.306533
366,8.073071,616,8.880948
367,8.131997,617,8.473043
368,8.073071,618,8.053204
369,8.073071,619,7.869393
370,8.014143,620,7.37958
371,8.073071,621,7.087601
372,8.073071,622,6.760263
373,7.896287,623,6.381079
374,7.896287,624,6.072241
375,8.014143,625,5.834795
376,7.955215,626,5.579369
377,7.896287,627,5.439571
378,7.955215,628,5.324466
379,8.073071,629,5.061805
380,8.190925,630,4.994517
381,8.190925,631,4.976166
382,8.190925,632,4.730513
383,8.308781,633,4.590492
384,8.426635,634,4.390717
385,8.603418,635,4.355283
386,8.662346,636,4.258305
387,8.721272,637,4.145512
388,8.898056,638,4.099112
389,8.898056,639,3.964014
390,9.01591,640,3.849431
391,9.133765,641,3.807133
392,9.133765,642,3.711125
393,9.133765,643,3.648238
394,9.133765,644,3.561779
395,9.133765,645,3.487255
396,9.133765,646,3.341191
397,9.25162,647,3.314186
398,9.25162,648,3.207958
399,9.25162,649,3.152979
400,9.369476,650,3.011018
401,9.25162,,
402,9.133765,,
403,9.133765,,
404,9.074838,,
405,9.01591,,
406,8.956983,,
407,8.839128,,
408,8.662346,,
409,8.485562
410,8.249853
411,8.131997
412,8.014143
413,7.83736
414,7.719505
415,7.542722
416,7.424868
417,7.307013
418,7.13023
419,7.071302
420,6.953447
421,6.776665
422,6.65881
423,6.599882
424,6.482027
425,6.364172
426,6.305245
427,6.187389
428,6.128462
429,6.069535
430,5.892752
431,5.774897
432,5.71597
433,5.71597
434,5.598114
435,5.539187
436,5.421332
437,5.421332
438,5.362404
439,5.303476
440,5.303476
441,5.303476
442,5.303476
443,5.362404
444,5.362404
445,5.421332
446,5.598114
447,5.657042
448,5.71597
449,5.833824
450,5.951679
451,6.128462
452,6.246317
453,6.482027
454,6.65881
455,6.835592
456,7.071302
457,7.36594
458,7.542722
459,7.778432
460,8.131997
461,8.367708
462,8.662346
463,8.956983
464,9.192693
465,9.487331
466,9.899823
467,10.19446
468,10.4891
469,10.96052
470,11.31408
471,11.66765
472,12.13907
473,12.49263
474,12.8462
475,13.43547
476,13.90689
477,14.43724
478,15.2033
479,15.79257
480,16.38185
481,17.20684
482,17.91397
483,18.6211
484,19.56394
485,20.32999
486,21.15498
487,22.33353
488,23.21744
489,24.10135
490,25.45669
491,26.45846
492,27.51915
493,28.93341
494,29.99411
495,31.11373
496,32.82263
497,34.11903
498,35.47437
499,37.12434
500,38.18503
501,39.1868
502,40.54213
503,41.5439
504,42.54567
505,43.95993
506,44.9617
507,46.0224
508,47.55451
509,48.85091
510,50.20625
511,52.20978
512,53.80083
513,55.50972
514,58.04361
515,59.98822
516,61.99175
517,64.93813
518,67.11845
519,69.35769
520,72.48085
521,74.72009
522,77.01827
523,80.0825
524,82.4396
525,84.67885
526,87.62522
527,89.68768
528,91.69122
529,94.16617
530,95.75722
531,97.17148
532,98.7036
533,99.46965
534,99.88214
