# ATTO 488
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
Q0 0.8
extcoeffv 90000
tauf 4100

# ex-wav, exc-val, fluor-wav, fluor-val
250, 0.3938, 480, 0
251, 0.3876, 481, 0
252, 0.3818, 482, 0.001
253, 0.3754, 483, 0.002
254, 0.3646, 484, 0.002
255, 0.3496, 485, 0.002
256, 0.3312, 486, 0.004
257, 0.3088, 487, 0.006
258, 0.2834, 488, 0.007
259, 0.259, 489, 0.009
260, 0.2382, 490, 0.011
261, 0.2196, 491, 0.015
262, 0.2046, 492, 0.019
263, 0.1944, 493, 0.025
264, 0.1856, 494, 0.029
265, 0.1776, 495, 0.038
266, 0.1706, 496, 0.049
267, 0.163, 497, 0.064
268, 0.1538, 498, 0.081
269, 0.1448, 499, 0.102
270, 0.136, 500, 0.127
271, 0.1286, 501, 0.162
272, 0.1214, 502, 0.203
273, 0.1156, 503, 0.244
274, 0.1112, 504, 0.277
275, 0.1072, 505, 0.307
276, 0.1032, 506, 0.332
277, 0.1014, 507, 0.354
278, 0.1008, 508, 0.381
279, 0.1002, 509, 0.419
280, 0.1002, 510, 0.468
281, 0.1008, 511, 0.523
282, 0.1026, 512, 0.576
283, 0.103, 513, 0.629
284, 0.1054, 514, 0.682
285, 0.1078, 515, 0.731
286, 0.11, 516, 0.779
287, 0.1126, 517, 0.821
288, 0.1158, 518, 0.859
289, 0.1188, 519, 0.897
290, 0.1212, 520, 0.928
291, 0.1242, 521, 0.953
292, 0.128, 522, 0.973
293, 0.1306, 523, 0.987
294, 0.1336, 524, 0.996
295, 0.1374, 525, 1
296, 0.1408, 526, 0.999
297, 0.1432, 527, 0.993
298, 0.1466, 528, 0.984
299, 0.1496, 529, 0.973
300, 0.152, 530, 0.959
301, 0.1546, 531, 0.942
302, 0.1574, 532, 0.924
303, 0.1594, 533, 0.904
304, 0.1602, 534, 0.883
305, 0.1618, 535, 0.86
306, 0.1628, 536, 0.837
307, 0.1636, 537, 0.815
308, 0.1636, 538, 0.791
309, 0.1634, 539, 0.767
310, 0.1618, 540, 0.741
311, 0.159, 541, 0.717
312, 0.1564, 542, 0.692
313, 0.1526, 543, 0.668
314, 0.1462, 544, 0.645
315, 0.1406, 545, 0.624
316, 0.1348, 546, 0.602
317, 0.1268, 547, 0.584
318, 0.1192, 548, 0.565
319, 0.1114, 549, 0.548
320, 0.104, 550, 0.533
321, 0.0976, 551, 0.515
322, 0.0914, 552, 0.501
323, 0.0854, 553, 0.486
324, 0.0814, 554, 0.474
325, 0.077, 555, 0.463
326, 0.073, 556, 0.451
327, 0.072, 557, 0.44
328, 0.072, 558, 0.428
329, 0.071, 559, 0.418
330, 0.0708, 560, 0.406
331, 0.0716, 561, 0.397
332, 0.0726, 562, 0.387
333, 0.0736, 563, 0.376
334, 0.0748, 564, 0.365
335, 0.0754, 565, 0.355
336, 0.0752, 566, 0.345
337, 0.0754, 567, 0.335
338, 0.0762, 568, 0.325
339, 0.0758, 569, 0.314
340, 0.0742, 570, 0.304
341, 0.0738, 571, 0.296
342, 0.0726, 572, 0.286
343, 0.0704, 573, 0.279
344, 0.0692, 574, 0.271
345, 0.0672, 575, 0.262
346, 0.0648, 576, 0.254
347, 0.0626, 577, 0.247
348, 0.06, 578, 0.238
349, 0.0586, 579, 0.23
350, 0.056, 580, 0.223
351, 0.0532, 581, 0.215
352, 0.051, 582, 0.208
353, 0.0494, 583, 0.198
354, 0.0472, 584, 0.19
355, 0.0452, 585, 0.184
356, 0.0428, 586, 0.177
357, 0.0416, 587, 0.17
358, 0.0396, 588, 0.164
359, 0.0388, 589, 0.159
360, 0.037, 590, 0.152
361, 0.036, 591, 0.147
362, 0.0354, 592, 0.141
363, 0.0352, 593, 0.136
364, 0.0344, 594, 0.13
365, 0.0334, 595, 0.126
366, 0.0338, 596, 0.121
367, 0.0328, 597, 0.117
368, 0.0326, 598, 0.113
369, 0.0326, 599, 0.11
370, 0.0332, 600, 0.105
371, 0.032, 601, 0.102
372, 0.032, 602, 0.098
373, 0.0322, 603, 0.095
374, 0.0324, 604, 0.092
375, 0.0312, 605, 0.088
376, 0.031, 606, 0.086
377, 0.0316, 607, 0.083
378, 0.0312, 608, 0.081
379, 0.0308, 609, 0.079
380, 0.0302, 610, 0.075
381, 0.0306, 611, 0.072
382, 0.0302, 612, 0.07
383, 0.0294, 613, 0.067
384, 0.0294, 614, 0.065
385, 0.0294, 615, 0.063
386, 0.029, 616, 0.06
387, 0.0284, 617, 0.059
388, 0.0286, 618, 0.057
389, 0.0282, 619, 0.056
390, 0.0276, 620, 0.052
391, 0.0276, 621, 0.052
392, 0.0282, 622, 0.05
393, 0.0278, 623, 0.049
394, 0.0268, 624, 0.047
395, 0.0272, 625, 0.046
396, 0.0272, 626, 0.045
397, 0.027, 627, 0.043
398, 0.0266, 628, 0.042
399, 0.027, 629, 0.039
400, 0.026, 630, 0.038
401, 0.026, 631, 0.038
402, 0.0262, 632, 0.036
403, 0.0266, 633, 0.034
404, 0.0264, 634, 0.033
405, 0.0262, 635, 0.033
406, 0.0264, 636, 0.031
407, 0.0266, 637, 0.031
408, 0.0266, 638, 0.028
409, 0.0268, 639, 0.029
410, 0.0272, 640, 0.028
411, 0.027, 641, 0.027
412, 0.0274, 642, 0.026
413, 0.0286, 643, 0.025
414, 0.0288, 644, 0.025
415, 0.0288, 645, 0.023
416, 0.0298, 646, 0.022
417, 0.0312, 647, 0.022
418, 0.0316, 648, 0.02
419, 0.0326, 649, 0.02
420, 0.0344, 650, 0.019
421, 0.0358, 651, 0.018
422, 0.0372, 652, 0.018
423, 0.0396, 653, 0.018
424, 0.0414, 654, 0.015
425, 0.043, 655, 0.016
426, 0.0452, 656, 0.015
427, 0.0478, 657, 0.013
428, 0.0508, 658, 0.015
429, 0.0534, 659, 0.015
430, 0.0562, 660, 0.013
431, 0.0602, 661, 0.013
432, 0.063, 662, 0.012
433, 0.0664, 663, 0.012
434, 0.07, 664, 0.012
435, 0.0738, 665, 0.012
436, 0.0768, 666, 0.01
437, 0.081, 667, 0.011
438, 0.0854, 668, 0.01
439, 0.0884, 669, 0.011
440, 0.0926, 670, 0.01
441, 0.0976, 671, 0.01
442, 0.1014, 672, 0.009
443, 0.1058, 673, 0.009
444, 0.111, 674, 0.008
445, 0.1168, 675, 0.007
446, 0.1222, 676, 0.007
447, 0.1286, 677, 0.009
448, 0.1354, 678, 0.008
449, 0.1424, 679, 0.009
450, 0.1502, 680, 0.007
451, 0.1582, 681, 0.007
452, 0.168, 682, 0.006
453, 0.1768, 683, 0.006
454, 0.1864, 684, 0.007
455, 0.1978, 685, 0.006
456, 0.2088, 686, 0.006
457, 0.2202, 687, 0.008
458, 0.2332, 688, 0.005
459, 0.2464, 689, 0.005
460, 0.259, 690, 0.005
461, 0.2714, 691, 0.005
462, 0.285, 692, 0.005
463, 0.2978, 693, 0.005
464, 0.3096, 694, 0.005
465, 0.3224, 695, 0.005
466, 0.3342, 696, 0.004
467, 0.345, 697, 0.003
468, 0.3548, 698, 0.005
469, 0.365, 699, 0.004
470, 0.3748, 700, 0.004
471, 0.3826, 701, 0.004
472, 0.3912, 702, 0.003
473, 0.4002, 703, 0.003
474, 0.4084, 704, 0.002
475, 0.418, 705, 0.003
476, 0.4282, 706, 0.002
477, 0.4398, 707, 0.003
478, 0.452, 708, 0.002
479, 0.4664, 709, 0.004
480, 0.4826, 710, 0.002
481, 0.5002, 711, 0.003
482, 0.5194, 712, 0.003
483, 0.5418, 713, 0.002
484, 0.5658, 714, 0.003
485, 0.5912, 715, 0.002
486, 0.619, 716, 0
487, 0.6492, 717, 0.002
488, 0.6802, 718, 0
489, 0.7126, 719, 0.001
490, 0.7468, 720, 0.001
491, 0.7804, , 
492, 0.8144, , 
493, 0.8474, , 
494, 0.8796, , 
495, 0.9098, , 
496, 0.9364, , 
497, 0.9606, , 
498, 0.9794, , 
499, 0.9924, , 
500, 0.9984, , 
501, 0.999, , 
502, 0.9906, , 
503, 0.975, , 
504, 0.9528, , 
505, 0.9238, , 
506, 0.8864, , 
507, 0.844, , 
508, 0.7978, , 
509, 0.7472, , 
510, 0.6948, , 
511, 0.642, , 
512, 0.5888, , 
513, 0.5354, , 
514, 0.4854, , 
515, 0.4386, , 
516, 0.3928, , 
517, 0.3508, , 
518, 0.3116, , 
519, 0.2764, , 
520, 0.2436, , 
521, 0.2146, , 
522, 0.1894, , 
523, 0.1658, , 
524, 0.1448, , 
525, 0.1278, , 
526, 0.1122, , 
527, 0.097, , 
528, 0.0846, , 
529, 0.0742, , 
530, 0.0642, , 
531, 0.0562, , 
532, 0.049, , 
533, 0.043, , 
534, 0.0372, , 
535, 0.0324, , 
536, 0.029, , 
537, 0.0248, , 
538, 0.0214, , 
539, 0.0192, , 
540, 0.0172, , 
541, 0.0146, , 
542, 0.0126, , 
543, 0.0114, , 
544, 0.0096, , 
545, 0.0082, , 
546, 0.0078, , 
547, 0.0072, , 
548, 0.0058, , 
549, 0.0052, , 
550, 0.0054, , 
551, 0.0046, , 
552, 0.0038, , 
553, 0.0034, , 
554, 0.0034, , 
555, 0.0028, , 
556, 0.0026, , 
557, 0.003, , 
558, 0.0026, , 
559, 0.0018, , 
560, 0.002, , 
561, 0.002, , 
562, 0.0014, , 
563, 0.0016, , 
564, 0.0016, , 
565, 0.0016, , 
566, 0.0012, , 
567, 0.0012, , 
568, 0.0016, , 
569, 0.0014, , 
570, 0.001, , 
