# ATTO 611X
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
# ex-wav, exc-val, fluor-wav, fluor-val
250, 0.0986, 580, 0.001
251, 0.0916, 581, 0.001
252, 0.0852, 582, 0.001
253, 0.079, 583, 0.001
254, 0.0738, 584, 0.001
255, 0.0684, 585, 0.001
256, 0.064, 586, 0.001
257, 0.0602, 587, 0.002
258, 0.0566, 588, 0.002
259, 0.0538, 589, 0.002
260, 0.0516, 590, 0.003
261, 0.0502, 591, 0.003
262, 0.0488, 592, 0.004
263, 0.048, 593, 0.005
264, 0.0474, 594, 0.006
265, 0.047, 595, 0.007
266, 0.047, 596, 0.008
267, 0.0476, 597, 0.009
268, 0.048, 598, 0.01
269, 0.0486, 599, 0.011
270, 0.0498, 600, 0.013
271, 0.0512, 601, 0.015
272, 0.0526, 602, 0.018
273, 0.0544, 603, 0.021
274, 0.0562, 604, 0.024
275, 0.0586, 605, 0.027
276, 0.0608, 606, 0.031
277, 0.0636, 607, 0.036
278, 0.067, 608, 0.042
279, 0.0704, 609, 0.048
280, 0.0742, 610, 0.056
281, 0.078, 611, 0.065
282, 0.083, 612, 0.073
283, 0.087, 613, 0.079
284, 0.092, 614, 0.085
285, 0.097, 615, 0.09
286, 0.102, 616, 0.095
287, 0.107, 617, 0.101
288, 0.112, 618, 0.108
289, 0.117, 619, 0.117
290, 0.122, 620, 0.126
291, 0.126, 621, 0.136
292, 0.1298, 622, 0.147
293, 0.1332, 623, 0.157
294, 0.1354, 624, 0.167
295, 0.1368, 625, 0.178
296, 0.1366, 626, 0.19
297, 0.1352, 627, 0.202
298, 0.1332, 628, 0.215
299, 0.1302, 629, 0.228
300, 0.127, 630, 0.242
301, 0.1234, 631, 0.256
302, 0.119, 632, 0.27
303, 0.1148, 633, 0.284
304, 0.1098, 634, 0.299
305, 0.104, 635, 0.315
306, 0.0988, 636, 0.329
307, 0.093, 637, 0.345
308, 0.089, 638, 0.362
309, 0.0846, 639, 0.379
310, 0.0806, 640, 0.396
311, 0.0772, 641, 0.414
312, 0.0734, 642, 0.431
