# ATTO 612Q
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
# ex-wav, exc-val, fluor-wav, fluor-val
250, 0.2475, , 
251, 0.252, , 
252, 0.2565, , 
253, 0.264, , 
254, 0.272, , 
255, 0.2815, , 
256, 0.294, , 
257, 0.3065, , 
258, 0.32, , 
259, 0.336, , 
260, 0.3535, , 
261, 0.373, , 
262, 0.395, , 
263, 0.4215, , 
264, 0.449, , 
265, 0.4775, , 
266, 0.5045, , 
267, 0.529, , 
268, 0.5475, , 
269, 0.562, , 
270, 0.575, , 
271, 0.5885, , 
272, 0.604, , 
273, 0.6215, , 
274, 0.6395, , 
275, 0.654, , 
276, 0.6615, , 
277, 0.658, , 
278, 0.638, , 
279, 0.601, , 
280, 0.551, , 
281, 0.493, , 
282, 0.4355, , 
283, 0.3835, , 
284, 0.3395, , 
285, 0.301, , 
286, 0.2675, , 
287, 0.2375, , 
288, 0.2115, , 
289, 0.1895, , 
290, 0.1705, , 
291, 0.1565, , 
292, 0.145, , 
293, 0.137, , 
294, 0.1305, , 
295, 0.1265, , 
296, 0.1215, , 
297, 0.116, , 
298, 0.11, , 
299, 0.1025, , 
300, 0.095, , 
301, 0.0885, , 
302, 0.0835, , 
303, 0.0785, , 
304, 0.075, , 
305, 0.072, , 
306, 0.0695, , 
307, 0.0665, , 
308, 0.0635, , 
309, 0.061, , 
310, 0.0575, , 
311, 0.0545, , 
312, 0.052, , 
313, 0.0495, , 
314, 0.0465, , 
315, 0.0445, , 
316, 0.0435, , 
317, 0.0415, , 
318, 0.0405, , 
319, 0.0395, , 
320, 0.0375, , 
321, 0.037, , 
322, 0.036, , 
323, 0.0355, , 
324, 0.035, , 
325, 0.035, , 
326, 0.036, , 
327, 0.0365, , 
328, 0.0375, , 
329, 0.0385, , 
330, 0.04, , 
331, 0.041, , 
332, 0.0425, , 
333, 0.0435, , 
334, 0.045, , 
335, 0.0455, , 
336, 0.046, , 
337, 0.0465, , 
338, 0.047, , 
339, 0.047, , 
340, 0.0475, , 
341, 0.048, , 
342, 0.049, , 
343, 0.05, , 
344, 0.051, , 
345, 0.0525, , 
346, 0.054, , 
347, 0.0555, , 
348, 0.0575, , 
349, 0.0595, , 
350, 0.0615, , 
351, 0.063, , 
352, 0.064, , 
353, 0.0645, , 
354, 0.065, , 
355, 0.0655, , 
356, 0.065, , 
357, 0.065, , 
358, 0.065, , 
359, 0.0645, , 
360, 0.0645, , 
361, 0.065, , 
362, 0.065, , 
363, 0.066, , 
364, 0.0675, , 
365, 0.0685, , 
366, 0.07, , 
367, 0.0715, , 
368, 0.0735, , 
369, 0.075, , 
370, 0.0765, , 
371, 0.077, , 
372, 0.077, , 
373, 0.0765, , 
374, 0.0745, , 
375, 0.0725, , 
376, 0.0695, , 
377, 0.067, , 
378, 0.0635, , 
379, 0.061, , 
380, 0.058, , 
381, 0.056, , 
382, 0.0545, , 
383, 0.0535, , 
384, 0.0525, , 
385, 0.052, , 
386, 0.052, , 
387, 0.0525, , 
388, 0.053, , 
389, 0.0535, , 
390, 0.0545, , 
391, 0.056, , 
392, 0.0575, , 
393, 0.0585, , 
394, 0.06, , 
395, 0.062, , 
396, 0.0635, , 
397, 0.0645, , 
398, 0.066, , 
399, 0.0675, , 
400, 0.0685, , 
401, 0.069, , 
402, 0.07, , 
403, 0.07, , 
404, 0.07, , 
405, 0.0695, , 
406, 0.069, , 
407, 0.0685, , 
408, 0.0675, , 
409, 0.0665, , 
410, 0.065, , 
411, 0.0635, , 
412, 0.062, , 
413, 0.0605, , 
414, 0.0585, , 
415, 0.057, , 
416, 0.055, , 
417, 0.0535, , 
418, 0.051, , 
419, 0.0495, , 
420, 0.0475, , 
421, 0.045, , 
422, 0.043, , 
423, 0.041, , 
424, 0.039, , 
425, 0.0365, , 
426, 0.035, , 
427, 0.033, , 
428, 0.031, , 
429, 0.0295, , 
430, 0.0275, , 
431, 0.026, , 
432, 0.024, , 
433, 0.0225, , 
434, 0.0215, , 
435, 0.019, , 
436, 0.0185, , 
437, 0.0175, , 
438, 0.016, , 
439, 0.0145, , 
440, 0.0135, , 
441, 0.013, , 
442, 0.012, , 
443, 0.0105, , 
444, 0.0105, , 
445, 0.01, , 
446, 0.009, , 
447, 0.0085, , 
448, 0.008, , 
449, 0.007, , 
450, 0.0065, , 
451, 0.0065, , 
452, 0.006, , 
453, 0.005, , 
454, 0.0055, , 
455, 0.005, , 
456, 0.0045, , 
457, 0.0045, , 
458, 0.0045, , 
459, 0.004, , 
460, 0.004, , 
461, 0.004, , 
462, 0.004, , 
463, 0.0035, , 
464, 0.0035, , 
465, 0.0035, , 
466, 0.0035, , 
467, 0.0035, , 
468, 0.0035, , 
469, 0.004, , 
470, 0.004, , 
471, 0.004, , 
472, 0.0045, , 
473, 0.0045, , 
474, 0.0045, , 
475, 0.0045, , 
476, 0.005, , 
477, 0.0055, , 
478, 0.005, , 
479, 0.006, , 
480, 0.006, , 
481, 0.0065, , 
482, 0.007, , 
483, 0.0075, , 
484, 0.0075, , 
485, 0.008, , 
486, 0.009, , 
487, 0.009, , 
488, 0.0095, , 
489, 0.01, , 
490, 0.0105, , 
491, 0.0105, , 
492, 0.011, , 
493, 0.012, , 
494, 0.013, , 
495, 0.0135, , 
496, 0.014, , 
497, 0.015, , 
498, 0.0165, , 
499, 0.017, , 
500, 0.018, , 
501, 0.0195, , 
502, 0.0205, , 
503, 0.022, , 
504, 0.024, , 
505, 0.0255, , 
506, 0.027, , 
507, 0.029, , 
508, 0.031, , 
509, 0.0325, , 
510, 0.035, , 
511, 0.0375, , 
512, 0.04, , 
513, 0.0415, , 
514, 0.0445, , 
515, 0.0465, , 
516, 0.0485, , 
517, 0.051, , 
518, 0.0535, , 
519, 0.0555, , 
520, 0.0575, , 
521, 0.06, , 
522, 0.062, , 
523, 0.0635, , 
524, 0.0655, , 
525, 0.0675, , 
526, 0.069, , 
527, 0.071, , 
528, 0.073, , 
529, 0.075, , 
530, 0.077, , 
531, 0.0795, , 
532, 0.0825, , 
533, 0.085, , 
534, 0.088, , 
535, 0.092, , 
536, 0.096, , 
537, 0.1, , 
538, 0.105, , 
539, 0.11, , 
540, 0.116, , 
541, 0.122, , 
542, 0.1295, , 
543, 0.137, , 
544, 0.1445, , 
545, 0.153, , 
546, 0.1625, , 
547, 0.172, , 
548, 0.1825, , 
549, 0.1935, , 
550, 0.204, , 
551, 0.215, , 
552, 0.2265, , 
553, 0.238, , 
554, 0.249, , 
555, 0.26, , 
556, 0.2705, , 
557, 0.281, , 
558, 0.2905, , 
559, 0.299, , 
560, 0.307, , 
561, 0.314, , 
562, 0.3205, , 
563, 0.3255, , 
564, 0.33, , 
565, 0.3325, , 
566, 0.3345, , 
567, 0.3365, , 
568, 0.337, , 
569, 0.337, , 
570, 0.3365, , 
571, 0.336, , 
572, 0.335, , 
573, 0.3345, , 
574, 0.3335, , 
575, 0.333, , 
576, 0.333, , 
577, 0.334, , 
578, 0.336, , 
579, 0.3385, , 
