# ATTO 647N
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
Q0 0.65
extcoeffv 150000
tauf 3500

# ex-wav, exc-val, fluor-wav, fluor-val
250, 0.082, 600, 0.003
251, 0.079, 601, 0.003
252, 0.076, 602, 0.002
253, 0.074, 603, 0.002
254, 0.071, 604, 0.001
255, 0.07, 605, 0.003
256, 0.068, 606, 0.003
257, 0.066, 607, 0.004
258, 0.064, 608, 0.003
259, 0.063, 609, 0.003
260, 0.061, 610, 0.003
261, 0.058, 611, 0.005
262, 0.057, 612, 0.005
263, 0.055, 613, 0.003
264, 0.053, 614, 0.005
265, 0.051, 615, 0.006
266, 0.048, 616, 0.005
267, 0.046, 617, 0.005
268, 0.045, 618, 0.005
269, 0.044, 619, 0.008
270, 0.045, 620, 0.008
271, 0.043, 621, 0.011
272, 0.042, 622, 0.013
273, 0.043, 623, 0.012
274, 0.042, 624, 0.015
275, 0.043, 625, 0.017
276, 0.043, 626, 0.023
277, 0.045, 627, 0.025
278, 0.044, 628, 0.031
279, 0.045, 629, 0.036
280, 0.045, 630, 0.043
281, 0.047, 631, 0.049
282, 0.047, 632, 0.056
283, 0.049, 633, 0.063
284, 0.051, 634, 0.07
285, 0.051, 635, 0.079
286, 0.053, 636, 0.088
287, 0.056, 637, 0.098
288, 0.058, 638, 0.11
289, 0.059, 639, 0.118
290, 0.061, 640, 0.129
291, 0.064, 641, 0.144
292, 0.067, 642, 0.167
293, 0.069, 643, 0.185
294, 0.072, 644, 0.206
295, 0.076, 645, 0.238
296, 0.079, 646, 0.263
297, 0.083, 647, 0.296
298, 0.088, 648, 0.328
299, 0.09, 649, 0.363
300, 0.095, 650, 0.401
301, 0.098, 651, 0.44
302, 0.102, 652, 0.478
303, 0.106, 653, 0.521
304, 0.11, 654, 0.56
305, 0.112, 655, 0.601
306, 0.116, 656, 0.64
307, 0.119, 657, 0.685
308, 0.123, 658, 0.723
309, 0.125, 659, 0.769
310, 0.126, 660, 0.805
311, 0.13, 661, 0.844
312, 0.133, 662, 0.877
313, 0.133, 663, 0.908
314, 0.136, 664, 0.932
315, 0.137, 665, 0.951
316, 0.137, 666, 0.969
317, 0.137, 667, 0.986
318, 0.138, 668, 0.993
319, 0.137, 669, 1
320, 0.135, 670, 1
321, 0.133, 671, 0.999
322, 0.131, 672, 0.987
323, 0.127, 673, 0.98
324, 0.123, 674, 0.963
325, 0.12, 675, 0.951
326, 0.114, 676, 0.932
327, 0.106, 677, 0.911
328, 0.096, 678, 0.883
329, 0.088, 679, 0.86
330, 0.081, 680, 0.834
331, 0.073, 681, 0.805
332, 0.066, 682, 0.778
333, 0.06, 683, 0.753
334, 0.053, 684, 0.724
335, 0.051, 685, 0.695
336, 0.047, 686, 0.667
337, 0.041, 687, 0.639
338, 0.039, 688, 0.608
339, 0.037, 689, 0.581
340, 0.034, 690, 0.554
341, 0.032, 691, 0.532
342, 0.03, 692, 0.507
343, 0.03, 693, 0.486
344, 0.027, 694, 0.472
345, 0.027, 695, 0.452
346, 0.027, 696, 0.433
347, 0.027, 697, 0.421
348, 0.024, 698, 0.406
349, 0.024, 699, 0.392
350, 0.024, 700, 0.377
351, 0.025, 701, 0.367
352, 0.023, 702, 0.356
353, 0.023, 703, 0.346
354, 0.022, 704, 0.332
355, 0.021, 705, 0.325
356, 0.021, 706, 0.314
357, 0.022, 707, 0.307
358, 0.022, 708, 0.304
359, 0.023, 709, 0.295
360, 0.023, 710, 0.293
361, 0.022, 711, 0.284
362, 0.022, 712, 0.285
363, 0.023, 713, 0.282
364, 0.023, 714, 0.276
365, 0.025, 715, 0.273
366, 0.025, 716, 0.274
367, 0.025, 717, 0.27
368, 0.025, 718, 0.271
369, 0.028, 719, 0.268
370, 0.028, 720, 0.265
371, 0.027, 721, 0.267
372, 0.029, 722, 0.263
373, 0.029, 723, 0.257
374, 0.03, 724, 0.26
375, 0.028, 725, 0.256
376, 0.03, 726, 0.254
377, 0.029, 727, 0.254
378, 0.031, 728, 0.249
379, 0.032, 729, 0.249
380, 0.033, 730, 0.246
381, 0.034, 731, 0.244
382, 0.035, 732, 0.239
383, 0.037, 733, 0.241
384, 0.036, 734, 0.232
385, 0.036, 735, 0.234
