# ATTO MB2
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
# ex-wav, exc-val, fluor-wav, fluor-val
200, 0.1436, , 
201, 0.14185, , 
202, 0.1348, , 
203, 0.12995, , 
204, 0.12505, , 
205, 0.121, , 
206, 0.11745, , 
207, 0.11265, , 
208, 0.1108, , 
209, 0.10835, , 
210, 0.10545, , 
211, 0.10395, , 
212, 0.1016, , 
213, 0.09995, , 
214, 0.0991, , 
215, 0.09795, , 
216, 0.09675, , 
217, 0.09675, , 
218, 0.09595, , 
219, 0.09495, , 
220, 0.09535, , 
221, 0.09465, , 
222, 0.0952, , 
223, 0.09615, , 
224, 0.097, , 
225, 0.09815, , 
226, 0.09925, , 
227, 0.10085, , 
228, 0.10105, , 
229, 0.1016, , 
230, 0.1026, , 
231, 0.10385, , 
232, 0.1059, , 
233, 0.10905, , 
234, 0.11315, , 
235, 0.118, , 
236, 0.12425, , 
237, 0.13105, , 
238, 0.1382, , 
239, 0.14655, , 
240, 0.15435, , 
241, 0.16265, , 
242, 0.1711, , 
243, 0.17885, , 
244, 0.18525, , 
245, 0.1894, , 
246, 0.1904, , 
247, 0.18655, , 
248, 0.1795, , 
249, 0.1699, , 
250, 0.15965, , 
251, 0.1497, , 
252, 0.13975, , 
253, 0.1319, , 
254, 0.1251, , 
255, 0.1193, , 
256, 0.115, , 
257, 0.11185, , 
258, 0.10965, , 
259, 0.10815, , 
260, 0.10825, , 
261, 0.10925, , 
262, 0.11175, , 
263, 0.1157, , 
264, 0.12045, , 
265, 0.12665, , 
266, 0.13295, , 
267, 0.13985, , 
268, 0.1469, , 
269, 0.15425, , 
270, 0.16235, , 
271, 0.1701, , 
272, 0.1794, , 
273, 0.18935, , 
274, 0.20075, , 
275, 0.21305, , 
276, 0.2262, , 
277, 0.2415, , 
278, 0.25655, , 
279, 0.2726, , 
280, 0.28915, , 
281, 0.30555, , 
282, 0.32245, , 
283, 0.3397, , 
284, 0.358, , 
285, 0.3765, , 
286, 0.3959, , 
287, 0.4167, , 
288, 0.4366, , 
289, 0.45445, , 
290, 0.46915, , 
291, 0.4787, , 
292, 0.4811, , 
293, 0.47635, , 
294, 0.464, , 
295, 0.4453, , 
296, 0.42195, , 
297, 0.39405, , 
298, 0.3647, , 
299, 0.33535, , 
300, 0.3062, , 
301, 0.27805, , 
302, 0.2512, , 
303, 0.22625, , 
304, 0.20275, , 
305, 0.18215, , 
306, 0.16425, , 
307, 0.14915, , 
308, 0.1368, , 
309, 0.12665, , 
310, 0.11945, , 
311, 0.11315, , 
312, 0.10885, , 
313, 0.1051, , 
314, 0.10205, , 
315, 0.0997, , 
316, 0.0976, , 
317, 0.09615, , 
318, 0.0941, , 
319, 0.09355, , 
320, 0.09275, , 
321, 0.0925, , 
322, 0.0924, , 
323, 0.0922, , 
324, 0.0921, , 
325, 0.0913, , 
326, 0.0897, , 
327, 0.0878, , 
328, 0.08495, , 
329, 0.0812, , 
330, 0.07625, , 
331, 0.0714, , 
332, 0.0662, , 
333, 0.06045, , 
334, 0.0555, , 
335, 0.05055, , 
