# ATTO Oxa12
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
Q0 0.3
extcoeffv 125000
tauf 1800

# ex-wav, exc-val, fluor-wav, fluor-val
200, 0.1653, 554, 0
201, 0.1623, 555, 0.00000459
202, 0.1588, 556, 0.00000518
203, 0.1558, 557, 0.00000544
204, 0.1522, 558, 0.0000057
205, 0.1495, 559, 0.00000654
206, 0.1474, 560, 0.00000658
207, 0.14545, 561, 0.00000652
208, 0.1449, 562, 0.00000692
209, 0.1446, 563, 0.00000731
210, 0.14445, 564, 0.00000678
211, 0.1461, 565, 0.0000067
212, 0.14885, 566, 0.00000663
213, 0.15235, 567, 0.00000657
214, 0.1567, 568, 0.00000652
215, 0.16105, 569, 0.00000706
216, 0.16555, 570, 0.00000786
217, 0.1702, 571, 0.00000841
218, 0.174, 572, 0.00000872
219, 0.17775, 573, 0.00000903
220, 0.18065, 574, 0.00000858
221, 0.1834, 575, 0.00000763
222, 0.1863, 576, 0.00000785
223, 0.1889, 577, 0.00000768
224, 0.1907, 578, 0.0000075
225, 0.19085, 579, 0.00000864
226, 0.18945, 580, 0.00001113
227, 0.18625, 581, 0.00001286
228, 0.1825, 582, 0.00001705
229, 0.1778, 583, 0.0000232
230, 0.17405, 584, 0.00002984
231, 0.17145, 585, 0.00003645
232, 0.1703, 586, 0.0000438
233, 0.17095, 587, 0.00004963
234, 0.1728, 588, 0.00005465
235, 0.1764, 589, 0.00006026
236, 0.181, 590, 0.00006764
237, 0.1865, 591, 0.00007587
238, 0.19255, 592, 0.00008702
239, 0.19895, 593, 0.00009977
240, 0.20565, 594, 0.0001142
241, 0.2117, 595, 0.00012882
242, 0.2173, 596, 0.00014736
243, 0.2217, 597, 0.00016812
244, 0.2247, 598, 0.00019478
245, 0.22655, 599, 0.00022498
246, 0.2264, 600, 0.00025958
247, 0.22515, 601, 0.00030038
248, 0.22265, 602, 0.00034431
249, 0.2203, 603, 0.00039101
250, 0.2183, 604, 0.00044304
251, 0.217, 605, 0.00050432
252, 0.2177, 606, 0.00057215
253, 0.21935, 607, 0.00065375
254, 0.2225, 608, 0.00074635
255, 0.22615, 609, 0.00085202
256, 0.2308, 610, 0.00097378
257, 0.23585, 611, 0.00111369
258, 0.24, 612, 0.00127068
259, 0.2434, 613, 0.00145239
260, 0.24395, 614, 0.00165786
261, 0.242, 615, 0.00188507
262, 0.2357, 616, 0.00213941
263, 0.22535, 617, 0.00242512
264, 0.21225, 618, 0.0027489
265, 0.19645, 619, 0.00311926
266, 0.18015, 620, 0.00354862
267, 0.16395, 621, 0.00404665
268, 0.1488, 622, 0.00463152
269, 0.1355, 623, 0.00531746
270, 0.12405, 624, 0.00611765
271, 0.1144, 625, 0.00704783
272, 0.10605, 626, 0.00810359
273, 0.09975, 627, 0.00930973
274, 0.0942, 628, 0.01064101
275, 0.0903, 629, 0.0121547
