# ATTO Rho13
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
Q0 0.8
extcoeffv 120000
tauf 3900

# ex-wav, exc-val, fluor-wav, fluor-val
200, 0.41689536, 552, 0.00016653
201, 0.40341248, 553, 0.00018809
202, 0.392614245, 554, 0.00022678
203, 0.383725095, 555, 0.0002833
204, 0.3766257, 556, 0.00031056
205, 0.371435385, 557, 0.00032103
206, 0.366960985, 558, 0.00040054
207, 0.36356043, 559, 0.00043801
208, 0.360159885, 560, 0.00052082
209, 0.357236605, 561, 0.00056767
210, 0.353120155, 562, 0.0007387
211, 0.349600285, 563, 0.00087296
212, 0.34458895, 564, 0.00102994
213, 0.33981625, 565, 0.00115485
214, 0.334685595, 566, 0.00136115
215, 0.329614605, 567, 0.00152766
216, 0.32603508, 568, 0.00179924
217, 0.322813505, 569, 0.00216272
218, 0.32042716, 570, 0.00251673
219, 0.318279445, 571, 0.00304176
220, 0.31589309, 572, 0.0036663
221, 0.31374538, 573, 0.00428366
222, 0.311478345, 574, 0.00505857
223, 0.3098079, 575, 0.0059966
224, 0.308316435, 576, 0.00698766
225, 0.308555065, 577, 0.0078913
226, 0.30849541, 578, 0.00916805
227, 0.309509605, 579, 0.0106485
228, 0.310106195, 580, 0.0123078
229, 0.31028517, 581, 0.01438056
230, 0.30927097, 582, 0.01699173
231, 0.30748121, 583, 0.01967836
232, 0.30497554, 584, 0.02313645
233, 0.30068011, 585, 0.02745375
234, 0.295788095, 586, 0.03204878
235, 0.28982222, 587, 0.03736501
236, 0.282842145, 588, 0.04353274
237, 0.2753848, 589, 0.04988939
238, 0.26780814, 590, 0.05688752
239, 0.26052977, 591, 0.06490218
240, 0.254205945, 592, 0.07387382
241, 0.24973154, 593, 0.08364996
242, 0.245973035, 594, 0.09536388
243, 0.24322873, 595, 0.1073263
244, 0.241617945, 596, 0.12036738
245, 0.240603745, 597, 0.13537942
246, 0.241200335, 598, 0.15288204
247, 0.242214535, 599, 0.17145035
248, 0.244958835, 600, 0.19280345
249, 0.24919461, 601, 0.21680566
250, 0.254862185, 602, 0.24200029
251, 0.262200215, 603, 0.26966987
252, 0.271268345, 604, 0.30184386
253, 0.281708625, 605, 0.33432802
254, 0.29304379, 606, 0.37011562
255, 0.30593008, 607, 0.40946201
256, 0.3193533, 608, 0.44830462
257, 0.33414867, 609, 0.48826208
258, 0.35043551, 610, 0.5318918
259, 0.36851211, 611, 0.57579316
260, 0.38867677, 612, 0.61737563
261, 0.410869825, 613, 0.65925819
262, 0.43449469, 614, 0.70014884
263, 0.458596825, 615, 0.73825903
264, 0.482042715, 616, 0.77610517
265, 0.50184942, 617, 0.81349028
266, 0.517002745, 618, 0.85066846
267, 0.526190195, 619, 0.88113752
268, 0.529948695, 620, 0.9105966
269, 0.531738455, 621, 0.93382616
270, 0.53490037, 622, 0.95400741
271, 0.54170147, 623, 0.97131535
272, 0.55226107, 624, 0.98538165
273, 0.565147355, 625, 0.99454496
274, 0.57743706, 626, 1
275, 0.583880205, 627, 0.99825865
276, 0.58125522, 628, 0.99181078
277, 0.56359623, 629, 0.98746275
278, 0.52953108, 630, 0.97666803
279, 0.48043193, 631, 0.9660657
280, 0.42447202, 632, 0.95511347
281, 0.369228015, 633, 0.93974398
282, 0.320964085, 634, 0.91938217
283, 0.281768285, 635, 0.90317469
284, 0.25056676, 636, 0.88344399
285, 0.22604701, 637, 0.85862759
286, 0.2045102, 638, 0.83606325
287, 0.186254625, 639, 0.81245862
288, 0.1703854, 640, 0.78354615
289, 0.157558765, 641, 0.7539376
290, 0.147476435, 642, 0.73099608
291, 0.140436705, 643, 0.70536601
292, 0.136320245, 644, 0.67648319
293, 0.13399356, 645, 0.6527463
294, 0.13417253, 646, 0.63067234
295, 0.13369526, 647, 0.60572243
296, 0.132203795, 648, 0.58449773
297, 0.127848705, 649, 0.56662473
298, 0.12110727, 650, 0.54730703
299, 0.11364992, 651, 0.52928233
300, 0.106013605, 652, 0.51149641
301, 0.099689775, 653, 0.49188182
302, 0.094618785, 654, 0.47531446
303, 0.09080062, 655, 0.46156206
304, 0.08757905, 656, 0.44460635
305, 0.08513304, 657, 0.43365243
306, 0.08310464, 658, 0.42253788
307, 0.08077795, 659, 0.41032695
308, 0.07898819, 660, 0.39858535
309, 0.07690013, 661, 0.39073624
310, 0.075647295, 662, 0.38137688
311, 0.073618895, 663, 0.37201837
312, 0.07266436, 664, 0.36418235
313, 0.07200811, 665, 0.35652288
314, 0.07081494, 666, 0.34916895
315, 0.07039733, 667, 0.34263136
316, 0.069621765, 668, 0.33878185
317, 0.069383125, 669, 0.33493946
318, 0.06836893, 670, 0.33072836
319, 0.072902995, 671, 0.32710285
320, 0.07493139, 672, 0.32303132
321, 0.07487173, 673, 0.31986229
322, 0.075229685, 674, 0.31722639
323, 0.07552798, 675, 0.31652542
324, 0.075826275, 676, 0.31530394
325, 0.076661495, 677, 0.31209586
326, 0.07791433, 678, 0.30851766
327, 0.079167165, 679, 0.30455747
328, 0.080658635, 680, 0.29986181
329, 0.08226942, 681, 0.29694979
330, 0.084118845, 682, 0.29437078
331, 0.085490995, 683, 0.2901025
332, 0.086803485, 684, 0.28737939
333, 0.087638705, 685, 0.28415559
334, 0.088354615, 686, 0.27773974
335, 0.08901086, 687, 0.27518381
336, 0.08907052, 688, 0.27212092
337, 0.089010855, 689, 0.26724907
338, 0.08907052, 690, 0.26143542
339, 0.089249495, 691, 0.25721403
340, 0.089667105, 692, 0.25057094
341, 0.08978642, 693, 0.24799685
342, 0.09080062, 694, 0.24432418
343, 0.091576185, 695, 0.24059397
344, 0.0927097, 696, 0.23730824
345, 0.09402219, 697, 0.23281223
346, 0.095692635, 698, 0.22618114
347, 0.09724377, 699, 0.22063691
348, 0.098615915, 700, 0.21506681
349, 0.099630115, 701, 0.20783362
350, 0.10046534, 702, 0.2011537
351, 0.101061925, 703, 0.19547263
352, 0.10094261, 704, 0.18853499
353, 0.100703975, 705, 0.18315537
354, 0.100167045, 706, 0.17617746
355, 0.0995108, 707, 0.17095451
356, 0.098854555, 708, 0.16449276
357, 0.098198305, 709, 0.15955395
358, 0.097363085, 710, 0.1533226
359, 0.097363085, 711, 0.14965633
360, 0.097363085, 712, 0.14323351
361, 0.09760172, 713, 0.13870378
362, 0.097840355, 714, 0.13448612
363, 0.098675575, 715, 0.13121326
364, 0.100167045, 716, 0.12534827
365, 0.101598855, 717, 0.12257979
366, 0.102553395, 718, 0.1195519
367, 0.103985205, 719, 0.11522571
368, 0.104999405, 720, 0.1082127
369, 0.10511872, 721, 0.10610491
370, 0.104402815, 722, 0.10243691
371, 0.102971005, 723, 0.0970207
372, 0.100107385, 724, 0.09253127
373, 0.096885815, 725, 0.08987462
374, 0.09360458, 726, 0.08529213
375, 0.08990574, 727, 0.0821439
376, 0.086266555, 728, 0.07955594
377, 0.08328362, 729, 0.07788764
378, 0.08071829, 730, 0.07614849
379, 0.079763755, 731, 0.0747453
380, 0.079226825, 732, 0.07189607
381, 0.0783916, 733, 0.07028697
382, 0.078272285, 734, 0.06767075
383, 0.07833194, 735, 0.06603896
384, 0.078630235, 736, 0.06432775
385, 0.07892853, 737, 0.06266737
386, 0.07988307, 738, 0.05968618
387, 0.081434195, 739, 0.05984096
388, 0.0821501, 740, 0.05851065
389, 0.083343275, 741, 0.05658033
390, 0.08459611, 742, 0.05564219
391, 0.085431335, 743, 0.05444136
392, 0.086326215, 744, 0.05270968
393, 0.087340415, 745, 0.0515231
394, 0.088115975, 746, 0.05005283
395, 0.088235295, 747, 0.05030312
396, 0.08847393, 748, 0.05062274
397, 0.08841427, 749, 0.04927395
398, 0.08817564, 750, 0.04854256
399, 0.08745973, 751, 0.04817667
400, 0.08650519, 752, 0.04675915
401, 0.085431335, 753, 0.04598945
402, 0.0841785, 754, 0.04506208
403, 0.08220976, 755, 0.04358033
404, 0.08077795, 756, 0.04199319
405, 0.07898819, 757, 0.04015894
406, 0.07690013, 758, 0.039818
407, 0.074752415, 759, 0.0374754
408, 0.07266436, 760, 0.03556622
409, 0.070456985, 761, 0.03553856
410, 0.06824961, 762, 0.03510692
411, 0.065982575, 763, 0.03287075
412, 0.063715545, 764, 0.03377003
413, 0.061388855, 765, 0.03422528
414, 0.059181485, 766, 0.0335679
415, 0.056914445, 767, 0.03227327
416, 0.054707075, 768, 0.03233188
417, 0.05226107, 769, 0.03148196
418, 0.050471305, 770, 0.03133203
419, 0.04820427, 771, 0.03065936
420, 0.0459969, 772, 0.03127671
421, 0.043849185, 773, 0.03031356
422, 0.042298055, 774, 0.02973528
423, 0.040388975, 775, 0.02734866
424, 0.038479895, 776, 0.02744005
425, 0.036928765, 777, 0.02626424
426, 0.0354373, 778, 0.02547787
427, 0.033766855, 779, 0.02476279
428, 0.0323947, 780, 0.02509758
429, 0.031320845, 781, 0.02378289
430, 0.03012767, 782, 0.0229217
431, 0.028994155, 783, 0.02287136
432, 0.027920295, 784, 0.02139153
433, 0.027025415, 785, 0.02057461
434, 0.026070875, 786, 0.02048319
435, 0.02535497, 787, 0.01984745
436, 0.024639065, 788, 0.01813818
437, 0.02380384, 789, 0.018024
438, 0.02308794, 790, 0.01775139
439, 0.022670325, 791, 0.01649722
440, 0.022133395, 792, 0.01665605
441, 0.02165613, 793, 0.0168336
442, 0.0211192, 794, 0.01756394
443, 0.020761245, 795, 0.01700567
444, 0.02052261, 796, 0.01687658
445, 0.01992602, 797, 0.01640982
446, 0.01962773, 798, 0.01586484
447, 0.019269775, 799, 0.01409782
448, 0.01879251, 800, 0.01329879
449, 0.01855387, 801, 0.01191034
450, 0.018076605, 802, 0.01101497
451, 0.017957285, 803, 0.01129823
452, 0.01759933, 804, 0.01132053
453, 0.017420355, 805, 0.01238168
454, 0.01724138, 806, 0.01395709
455, 0.016943085, 807, 0.01372594
456, 0.01688343, 808, 0.01375515
457, 0.016704455, 809, 0.01376358
458, 0.016525475, 810, 0.01315852
459, 0.01628684, 811, 0.01310298
460, 0.01622718, 812, 0.01348578
461, 0.0163465, 813, 0.01330118
462, 0.016167525, 814, 0.01396429
463, 0.01616752, 815, 0.01441602
464, 0.0163465, 816, 0.01416961
465, 0.016525475, 817, 0.01332302
466, 0.016585135, 818, 0.01126533
467, 0.016585135, , 
468, 0.017002745, , 
469, 0.017181725, , 
470, 0.0173607, , 
471, 0.017897625, , 
472, 0.01813626, , 
473, 0.018613535, , 
474, 0.01873285, , 
475, 0.01926978, , 
476, 0.019687385, , 
477, 0.019926025, , 
478, 0.02064193, , 
479, 0.02117886, , 
480, 0.021596465, , 
481, 0.02207374, , 
482, 0.02296862, , 
483, 0.023744185, , 
484, 0.024161795, , 
485, 0.02517599, , 
486, 0.026190195, , 
487, 0.02720439, , 
488, 0.028039615, , 
489, 0.02917313, , 
490, 0.03054528, , 
491, 0.03185777, , 
492, 0.033289585, , 
493, 0.034781055, , 
494, 0.0364515, , 
495, 0.038002625, , 
496, 0.040090685, , 
497, 0.04188044, , 
498, 0.043849185, , 
499, 0.046116215, , 
500, 0.0487412, , 
501, 0.05118721, , 
502, 0.053633215, , 
503, 0.05649684, , 
504, 0.0593008, , 
505, 0.061866125, , 
506, 0.06455077, , 
507, 0.06741439, , 
508, 0.07009903, , 
509, 0.072724015, , 
510, 0.07552798, , 
511, 0.078093305, , 
512, 0.08083761, , 
513, 0.08322396, , 
514, 0.086206895, , 
515, 0.088593245, , 
516, 0.091158575, , 
517, 0.093962535, , 
518, 0.096885815, , 
519, 0.09980909, , 
520, 0.103030665, , 
521, 0.106490875, , 
522, 0.110130055, , 
523, 0.114067535, , 
524, 0.11824365, , 
525, 0.122956685, , 
526, 0.12790836, , 
527, 0.13333731, , 
528, 0.1394225, , 
529, 0.14610428, , 
530, 0.15296504, , 
531, 0.160422385, , 
532, 0.168655295, , 
533, 0.17724615, , 
534, 0.186194965, , 
535, 0.195740365, , 
536, 0.205763035, , 
537, 0.216203315, , 
538, 0.227180525, , 
539, 0.238336715, , 
540, 0.24955256, , 
541, 0.26064909, , 
542, 0.272222885, , 
543, 0.283677365, , 
544, 0.29477389, , 
545, 0.305572125, , 
546, 0.31613173, , 
547, 0.32603508, , 
548, 0.33510321, , 
549, 0.343932705, , 
550, 0.351569025, , 
551, 0.358429785, , 
552, 0.364335995, , 
553, 0.369585965, , 
554, 0.374000715, , 
555, 0.37716263, , 
556, 0.38002625, , 
557, 0.382293285, , 
558, 0.38396373, , 
559, 0.3854552, , 
560, 0.38676769, , 
561, 0.38808018, , 
562, 0.389690965, , 
563, 0.391779025, , 
564, 0.39446367, , 
565, 0.397983535, , 
566, 0.40198067, , 
567, 0.40764825, , 
568, 0.414330035, , 
569, 0.42220499, , 
570, 0.431332775, , 
571, 0.442309985, , 
572, 0.45454003, , 
573, 0.46885813, , 
574, 0.484071115, , 
575, 0.501312495, , 
576, 0.520104995, , 
577, 0.54003102, , 
578, 0.561985445, , 
579, 0.585192695, , 
580, 0.609414155, , 
581, 0.635067415, , 
582, 0.661854195, , 
583, 0.68935688, , 
584, 0.717217515, , 
585, 0.7457344, , 
586, 0.77431094, , 
587, 0.802827825, , 
588, 0.83080778, , 
589, 0.85807183, , 
590, 0.88420236, , 
591, 0.908602795, , 
592, 0.930855505, , 
593, 0.95078153, , 
594, 0.967843935, , 
595, 0.98144613, , 
596, 0.99176709, , 
597, 0.998031265, , 
598, 0.999880685, , 
599, 0.9972557, , 
600, 0.9904546, , 
601, 0.97840353, , 
602, 0.96187806, , 
603, 0.941116815, , 
604, 0.91576184, , 
605, 0.88640974, , 
606, 0.853418445, , 
607, 0.81774251, , 
608, 0.77938194, , 
609, 0.738694665, , 
610, 0.696575585, , 
611, 0.65391958, , 
612, 0.610547665, , 
613, 0.567116095, , 
614, 0.52481804, , 
615, 0.48317623, , 
616, 0.44302589, , 
617, 0.404784635, , 
618, 0.368154155, , 
619, 0.333373105, , 
620, 0.30115738, , 
621, 0.271089365, , 
622, 0.243109415, , 
623, 0.21703854, , 
624, 0.193831285, , 
625, 0.17265243, , 
626, 0.15308436, , 
627, 0.135544685, , 
628, 0.11991409, , 
629, 0.105834625, , 
630, 0.09330629, , 
631, 0.081911465, , 
632, 0.07212743, , 
633, 0.06347691, , 
634, 0.05542298, , 
635, 0.0487412, , 
636, 0.04289464, , 
637, 0.037644675, , 
638, 0.03299129, , 
639, 0.02917313, , 
640, 0.025474285, , 
641, 0.022610665, , 
642, 0.019926025, , 
643, 0.017957285, , 
644, 0.01586923, , 
645, 0.01407947, , 
646, 0.01264766, , 
647, 0.01151414, , 
648, 0.010201645, , 
649, 0.0095454, , 
650, 0.00859086, , 
651, 0.007874955, , 
652, 0.007338025, , 
653, 0.007039735, , 
654, 0.00644315, , 
655, 0.00584656, , 
656, 0.005548265, , 
657, 0.00542895, , 
658, 0.005070995, , 
659, 0.004713045, , 
660, 0.004593725, , 
661, 0.004593725, , 
662, 0.004414745, , 
663, 0.00423577, , 
664, 0.004235775, , 
665, 0.003997135, , 
666, 0.00393748, , 
667, 0.003997135, , 
668, 0.00381816, , 
669, 0.003698845, , 
670, 0.003758505, , 
671, 0.003579525, , 
672, 0.003639185, , 
673, 0.00334089, , 
674, 0.003639185, , 
675, 0.003519865, , 
676, 0.00340055, , 
677, 0.003161915, , 
678, 0.00346021, , 
679, 0.003281235, , 
680, 0.003102255, , 
681, 0.00328123, , 
682, 0.00322157, , 
683, 0.00322157, , 
684, 0.003102255, , 
685, 0.00340055, , 
686, 0.003102255, , 
687, 0.00310226, , 
688, 0.003161915, , 
689, 0.00328123, , 
690, 0.003221575, , 
691, 0.00298294, , 
692, 0.002803965, , 
693, 0.0030426, , 
694, 0.00292328, , 
695, 0.00292328, , 
696, 0.0030426, , 
697, 0.00292328, , 
698, 0.003042595, , 
699, 0.002982935, , 
700, 0.00292328, , 
701, 0.00292328, , 
702, 0.003042595, , 
703, 0.002744305, , 
704, 0.00262499, , 
705, 0.002147715, , 
706, 0.002267035, , 
707, 0.00196874, , 
708, 0.001730105, , 
709, 0.001193175, , 
710, 0.001133515, , 
711, 0.00119318, , 
712, 0.000715905, , 
713, 0.00053693, , 
714, 0.00041761, , 
715, 0.00011932, , 
716, 0, , 
