# ATTO Rho6G
# Data source: http://www.atto-tec.com/uploads/media/Katalog.pdf
Q0 0.9
extcoeffv 115000
tauf 4100

# ex-wav, exc-val, fluor-wav, fluor-val
250, 0.471625345, 502, 0.00039515
251, 0.459504135, 503, 0.0005393
252, 0.436914605, 504, 0.00056356
253, 0.407529845, 505, 0.00062446
254, 0.372635445, 506, 0.00078264
255, 0.3369146, 507, 0.00095363
256, 0.302938475, 508, 0.00099228
257, 0.272635445, 509, 0.00111525
258, 0.24811754, 510, 0.00135084
259, 0.22782369, 511, 0.00161426
260, 0.213223145, 512, 0.00187908
261, 0.20110193, 513, 0.00221799
262, 0.192837465, 514, 0.00281996
263, 0.187695135, 515, 0.00339101
264, 0.18337925, 516, 0.00420577
265, 0.182093665, 517, 0.00494776
266, 0.18145087, 518, 0.00620771
267, 0.182828285, 519, 0.00746004
268, 0.184573005, 520, 0.00901067
269, 0.18815427, 521, 0.01056031
270, 0.19090909, 522, 0.01322596
271, 0.19375574, 523, 0.01595554
272, 0.19623508, 524, 0.01934252
273, 0.19761249, 525, 0.02318689
274, 0.19862259, 526, 0.02755571
275, 0.19742883, 527, 0.03247561
276, 0.19678604, 528, 0.03841079
277, 0.19485767, 529, 0.04540728
278, 0.19274564, 530, 0.05306046
279, 0.1912764, 531, 0.06377177
280, 0.18898072, 532, 0.07430165
281, 0.18741965, 533, 0.08786435
282, 0.185674935, 534, 0.10337175
283, 0.18475666, 535, 0.12004715
284, 0.18328742, 536, 0.13778387
285, 0.18181818, 537, 0.16098128
286, 0.18080808, 538, 0.18258896
287, 0.17943067, 539, 0.20639747
288, 0.17869605, 540, 0.23648206
289, 0.177410465, 541, 0.27252408
290, 0.17796143, 542, 0.31124535
291, 0.178236915, 543, 0.35497096
292, 0.17915519, 544, 0.40474784
293, 0.17979798, 545, 0.45375495
294, 0.181083565, 546, 0.50336186
295, 0.182828285, 547, 0.55347909
296, 0.182736455, 548, 0.60584594
297, 0.182460975, 549, 0.65623765
298, 0.181267215, 550, 0.70976916
299, 0.178512395, 551, 0.75861631
300, 0.1728191, 552, 0.80450515
301, 0.165564735, 553, 0.8468294
302, 0.15785124, 554, 0.88531729
303, 0.147199265, 555, 0.91835895
304, 0.13700643, 556, 0.94675561
305, 0.1261708, 557, 0.96943661
306, 0.11561065, 558, 0.98521876
307, 0.10376492, 559, 0.99637652
308, 0.093572085, 560, 0.99973735
309, 0.084113865, 561, 1
310, 0.074380165, 562, 0.99091401
311, 0.06767677, 563, 0.98380753
312, 0.06069789, 564, 0.97011558
313, 0.05573921, 565, 0.95566087
314, 0.05123967, 566, 0.93954405
315, 0.046923785, 567, 0.92428914
316, 0.0446281, 568, 0.90273505
317, 0.041322315, 569, 0.88014048
318, 0.03939394, 570, 0.85518918
319, 0.03737374, 571, 0.82591736
320, 0.03663912, 572, 0.79741405
321, 0.036455465, 573, 0.77106258
322, 0.035720845, 574, 0.74757675
323, 0.035353535, 575, 0.72111582
324, 0.035445365, 576, 0.70041639
325, 0.036822775, 577, 0.67885105
326, 0.036822775, 578, 0.65559999
327, 0.03829201, 579, 0.62848486
328, 0.040587695, 580, 0.60504677
329, 0.04187328, 581, 0.57927239
330, 0.044352615, 582, 0.55660277
331, 0.04674013, 583, 0.53320513
332, 0.048576675, 584, 0.51636429
333, 0.050964185, 585, 0.49849723
334, 0.05371901, 586, 0.48362191
335, 0.055463725, 587, 0.46847601
336, 0.05785124, 588, 0.45522949
337, 0.05959596, 589, 0.44023763
338, 0.06161616, 590, 0.42962361
339, 0.063360885, 591, 0.41688819
340, 0.065289255, 592, 0.40594991
341, 0.067401285, 593, 0.39856784
342, 0.07061524, 594, 0.3902805
343, 0.07355372, 595, 0.38049548
344, 0.07713499, 596, 0.37102432
345, 0.08108356, 597, 0.36503033
346, 0.08466483, 598, 0.35569152
347, 0.088337925, 599, 0.35015208
348, 0.09201102, 600, 0.34163835
349, 0.09540863, 601, 0.33832948
350, 0.09788797, 602, 0.33228087
351, 0.098989895, 603, 0.32874075
352, 0.09972452, 604, 0.31914016
353, 0.09889807, 605, 0.31443324
354, 0.09724518, 606, 0.30602835
355, 0.094582185, 607, 0.29866169
356, 0.091368225, 608, 0.28863139
357, 0.087511475, 609, 0.2830807
358, 0.082736455, 610, 0.27579176
359, 0.07832874, 611, 0.26912698
360, 0.073645545, 612, 0.25873678
361, 0.068227735, 613, 0.24993577
362, 0.063636365, 614, 0.23937804
363, 0.05922865, 615, 0.22893862
364, 0.054637285, 616, 0.22107077
365, 0.050688705, 617, 0.21232437
366, 0.04692378, 618, 0.20572538
367, 0.04306703, 619, 0.1987585
368, 0.03976125, 620, 0.19332916
369, 0.036639115, 621, 0.18445127
370, 0.034067955, 622, 0.17962742
371, 0.03168044, 623, 0.17252208
372, 0.02929293, 624, 0.16724876
373, 0.027640035, 625, 0.16000691
374, 0.026813595, 626, 0.15321935
375, 0.024885215, 627, 0.14789837
376, 0.023783285, 628, 0.14289414
377, 0.02304867, 629, 0.13662689
378, 0.022130395, 630, 0.13331081
379, 0.02130395, 631, 0.12943179
380, 0.0204775, 632, 0.12401216
381, 0.02084481, 633, 0.118234
382, 0.020936635, 634, 0.11370396
383, 0.02066116, 635, 0.10869868
384, 0.020293845, 636, 0.10340295
385, 0.020752985, 637, 0.10012638
386, 0.020477505, 638, 0.09599195
387, 0.020385675, 639, 0.09449811
388, 0.020385675, 640, 0.09000034
389, 0.020752985, 641, 0.08635196
390, 0.02029385, 642, 0.08191232
391, 0.02011019, 643, 0.07863998
392, 0.01983471, 644, 0.07343182
393, 0.020385675, 645, 0.07268316
394, 0.01955923, 646, 0.07087321
395, 0.01919192, 647, 0.06894034
396, 0.019008265, 648, 0.06818607
397, 0.019100095, 649, 0.06770369
398, 0.018181815, 650, 0.06495814
399, 0.017906335, 651, 0.06245433
400, 0.017814505, 652, 0.06034872
401, 0.01698806, 653, 0.05803724
402, 0.016161615, 654, 0.05529231
403, 0.01671258, 655, 0.05402467
404, 0.01570248, 656, 0.05331512
405, 0.015426995, 657, 0.05222021
406, 0.01505969, 658, 0.04991588
407, 0.014325065, 659, 0.04795983
408, 0.01395776, 660, 0.04493168
409, 0.013774105, 661, 0.04283004
410, 0.01395776, 662, 0.04062487
411, 0.013682275, 663, 0.03914168
412, 0.01258035, 664, 0.03900047
413, 0.01258035, 665, 0.03940651
414, 0.01331497, 666, 0.0373911
415, 0.01221304, 667, 0.03655169
416, 0.01157025, 668, 0.03739724
417, 0.012029385, 669, 0.03601206
418, 0.01147842, 670, 0.03369279
419, 0.010651975, 671, 0.03356417
420, 0.01083563, 672, 0.03275431
421, 0.0107438, 673, 0.03078639
422, 0.01056015, 674, 0.02983045
423, 0.00945822, 675, 0.02939387
424, 0.01010101, 676, 0.02931128
425, 0.009917355, 677, 0.0289041
426, 0.00945822, 678, 0.02918595
427, 0.00899908, 679, 0.02853033
428, 0.0097337, 680, 0.02795371
429, 0.00909091, 681, 0.0269631
430, 0.008999085, 682, 0.02612329
431, 0.009458215, 683, 0.02324904
432, 0.010192835, 684, 0.02263077
433, 0.009274565, 685, 0.02193325
434, 0.00936639, 686, 0.0219552
435, 0.010651975, 687, 0.02097517
436, 0.01019284, 688, 0.020977
437, 0.01037649, 689, 0.02045803
438, 0.01111111, 690, 0.02012688
439, 0.01138659, 691, 0.01834528
440, 0.011294765, 692, 0.01763445
441, 0.01230487, 693, 0.01874362
442, 0.013498625, 694, 0.01733447
443, 0.01395776, 695, 0.01570594
444, 0.01414141, 696, 0.01574734
445, 0.015518825, 697, 0.01543028
446, 0.016804405, 698, 0.01358791
447, 0.01735537, 699, 0.01400051
448, 0.018549125, 700, 0.01449549
449, 0.02084481, 701, 0.01337713
450, 0.021671255, 702, 0.01239865
451, 0.022497705, 703, 0.01301387
452, 0.024885215, 704, 0.01228649
453, 0.02690542, 705, 0.01216503
454, 0.028374655, 706, 0.01264029
455, 0.030578515, 707, 0.01272374
456, 0.03305785, 708, 0.01089563
457, 0.03516988, 709, 0.01070085
458, 0.036730945, 710, 0.01053892
459, 0.039577595, 711, 0.00979307
460, 0.042240585, 712, 0.01078103
461, 0.044352615, 713, 0.01192729
462, 0.046556475, 714, 0.01097287
463, 0.049586775, 715, 0.0102969
464, 0.052157945, 716, 0.01062222
465, 0.05426997, 717, 0.00994532
466, 0.057024795, 718, 0.00913635
467, 0.06033058, 719, 0.00999613
468, 0.06244261, 720, 0.00919138
469, 0.065564735, 721, 0.00917674
470, 0.069054175, 722, 0.0084748
471, 0.072359965, 723, 0.00802711
472, 0.07557392, 724, 0.00739415
473, 0.07970615, 725, 0.00759992
474, 0.084481175, 726, 0.00747011
475, 0.088705235, 727, 0.00782676
