# wl,abs, wl,em
300,3.014512,480,0
301,2.907308,481,-0.049304
302,2.925611,482,-6.62E-02
303,3.064191,483,-4.66E-02
304,3.106288,484,-6.03E-02
305,3.100797,485,-4.38E-02
306,3.126945,486,-4.40E-02
307,3.32331,487,-1.36E-02
308,3.351811,488,-3.42E-03
309,3.435743,489,3.44E-03
310,3.526997,490,2.77E-02
311,3.731207,491,6.25E-02
312,3.950843,492,9.08E-02
313,3.98222,493,0.1473567
314,4.269839,494,0.1800726
315,4.515623,495,0.2597576
316,4.653942,496,0.3305509
317,4.76899,497,0.4614298
318,5.226827,498,0.5740858
319,5.313113,499,0.7574838
320,5.192574,500,0.9735804
321,5.242516,501,1.227585
322,5.449079,502,1.556635
323,5.25036,503,1.978933
324,5.354687,504,2.501916
325,5.639953,505,3.147041
326,5.822722,506,3.862306
327,5.833181,507,4.862287
328,6.131521,508,5.868866
329,6.411296,509,7.161833
330,6.628318,510,8.831606
331,6.868872,511,10.61356
332,7.064714,512,12.81084
333,7.234671,513,15.35792
334,7.161459,514,17.95604
335,7.169303,515,21.32365
336,7.072558,516,24.58879
337,6.691071,517,28.40058
338,6.366846,518,32.53789
339,5.979867,519,37.03417
340,5.443588,520,41.61775
341,4.988626,521,46.50188
342,4.54177,522,51.39141
343,4.128644,523,56.59662
344,3.55602,524,62.02837
345,3.098444,525,66.44669
346,2.685318,526,71.56932
347,2.355864,527,76.19373
348,2.018564,528,80.55302
349,1.830305,529,84.86406
350,1.607792,530,88.30024
351,1.469212,531,91.45934
352,1.296902,532,93.94694
353,1.228657,533,96.22229
354,1.273108,534,97.95813
355,1.200157,535,98.66705
356,1.200157,536,99.2
357,1.056347,537,100
358,1.116224,538,98.90362
359,1.140018,539,98.44322
360,1.131913,540,97.35841
361,1.192051,541,96.18331
362,1.215845,542,94.14337
363,1.210354,543,91.73025
364,1.299516,544,89.80415
365,1.359655,545,87.73835
366,1.469212,546,84.64178
367,1.453523,547,82.17116
368,1.490391,548,79.3231
369,1.513662,549,77.11568
370,1.519153,550,73.8794
371,1.461629,551,71.24786
372,1.602824,552,68.39093
373,1.547653,553,66.13873
374,1.587136,554,63.5917
375,1.558374,555,61.04621
376,1.58975,556,58.76894
377,1.597333,557,56.71819
378,1.636815,558,54.6412
379,1.602824,559,52.65837
380,1.688848,560,50.61496
381,1.631586,561,49.23917
382,1.702183,562,47.68432
383,1.859067,563,46.03145
384,2.000262,564,44.82624
385,2.026147,565,43.60675
386,1.963394,566,42.42007
387,1.987188,567,41.45991
388,2.09413,568,40.49744
389,2.125507,569,39.77193
390,2.144071,570,38.79595
391,2.18826,571,37.69459
392,2.227481,572,37.1687
393,2.23271,573,36.60245
394,2.23271,574,35.69543
395,2.308537,575,35.02665
396,2.24866,576,34.26944
397,2.23271,577,33.67502
398,2.258857,578,32.99512
399,2.303308,579,32.29449
400,2.313766,580,31.69683
401,2.32684,581,30.95633
402,2.345143,582,30.19558
403,2.345143,583,29.61235
404,2.303308,584,28.89594
405,2.29834,585,28.00451
406,2.366323,586,27.24442
407,2.374167,587,26.67778
408,2.381749,588,25.74611
409,2.29311,589,25.12409
410,2.38724,590,24.30966
411,2.379396,591,23.51255
412,2.488953,592,22.67203
413,2.488953,593,22.09632
414,2.496797,594,21.29393
415,2.473526,595,20.36442
416,2.562427,596,19.61671
417,2.5151,597,19.11738
418,2.669369,598,18.27103
419,2.640607,599,17.66136
420,2.745195,600,16.83566
421,2.693162,601,16.21831
422,2.667015,602,15.53057
423,2.784416,603,15.05791
424,2.850046,604,14.4881
425,2.988364,605,13.88527
426,3.045888,606,13.36224
427,3.121715,607,12.74215
428,3.176624,608,12.12125
429,3.362531,609,11.71238
430,3.477317,610,11.28864
431,3.65015,611,10.68187
432,3.79919,612,10.35469
433,4.005753,613,10.02786
434,4.126029,614,9.596295
435,4.363969,615,9.273439
436,4.667277,616,8.723743
437,4.986011,617,8.630159
438,5.315728,618,8.299315
439,5.563865,619,7.865818
440,5.890966,620,7.612889
441,6.235847,621,7.394771
442,6.528958,622,7.215475
443,6.847692,623,6.96548
444,7.224212,624,6.634713
445,7.514446,625,6.440135
446,7.880507,626,6.108133
447,8.199765,627,6.118784
448,8.552752,628,5.911973
449,8.858413,629,5.65206
450,9.253497,630,5.503406
451,9.627141,631,5.409513
452,10.03765,632,5.206831
453,10.3488,633,5.011172
454,10.80926,634,4.799344
455,11.27991,635,4.742383
456,11.78193,636,4.521254
457,12.28893,637,4.407641
458,12.90077,638,4.278823
459,13.67238,639,4.158997
460,14.41992,640,4.01069
461,15.23336,641,3.844843
462,16.13283,642,3.715728
463,17.10001,643,3.541912
464,18.11452,644,3.473907
465,19.26003,645,3.347523
466,20.59328,646,3.176116
467,21.91136,647,3.142055
468,23.23415,648,3.021472
469,24.6542,649,2.766356
470,26.01883,650,2.726387
471,27.47784,651,2.56521
472,28.87436,652,2.505814
473,30.28605,653,2.48986
474,31.55157,654,2.303521
475,32.80167,655,2.20582
476,33.88678,656,2.058566
477,34.99255,657,2.003446
478,35.81357,658,1.947203
479,36.6244,659,1.806831
480,37.19179,660,1.746111
481,37.7801,661,1.649551
482,38.11714,662,1.601702
483,38.49392,663,1.483207
484,38.83645,664,1.379431
485,39.1659,665,1.343498
486,39.50294,666,1.288872
487,39.88992,667,1.232498
488,40.35037,668,1.082917
489,41.0064,669,1.059273
490,41.74637,670,0.9784968
491,42.75565,671,0.8762682
492,43.94823,672,0.8679633
493,45.38894,673,0.8202103
494,47.11962,674,0.7120193
495,49.05478,,
496,51.34528,,
497,53.79527,,
498,56.59302,,
499,59.54243,,
500,62.88665,,
501,66.35874,,
502,69.96706,,
503,73.72467,,
504,77.48438,,
505,81.26003,,
506,84.96535,,
507,88.47928
508,91.62767
509,94.42019
510,96.84142
511,98.53811
512,99.70166
513,100
514,99.58426
515,98.30043
516,96.21886
517,93.36357
518,89.83658
519,85.71813
520,80.97268
521,75.89463
522,70.56583
523,65.08276
524,59.56831
525,54.05386
526,48.89528
527,43.82011
528,39.16852
529,34.63694
530,30.67826
531,26.8375
532,23.48255
533,20.41286
534,17.6308
535,15.16251
536,13.037
537,11.1829
538,9.488822
539,8.194274
540,6.928749
541,5.890966
542,5.012159
543,4.314028
544,3.615898
545,3.030462
546,2.612106
547,2.222513
548,1.87214
549,1.610407
550,1.443326
551,1.255066
552,1.118839
553,1.01425
554,0.8576285
555,0.8027194
556,0.7608838
557,0.6926395
558,0.5802065
559,0.5880507
560,0.5671329
561,0.5281736
562,0.5229442
563,0.5069944
564,0.5124853
565,0.4523467
566,0.4625441
567,0.4390116
568,0.4523467
569,0.4131259
570,0.3867172
571,0.3006929
572,0.3451432
573,0.3399137
574,0.3974376
575,0.3501111
576,0.3529873
577,0.3529873
578,0.3553406
579,0.337299
580,0.3710289
581,0.3187345
582,0.3265786
583,0.3108903
584,0.3294548
585,0.3294548
586,0.3501111
587,0.3608315
588,0.3686756
589,0.3501111
590,0.4180939
591,0.4052818
592,0.3788731
593,0.3474964
594,0.2899725
595,0.3657994
596,0.3344228
597,0.3501111
598,0.3608315
599,0.3422669
600,0.3422669
601,0.3710289
602,0.3553406
603,0.3320695
604,0.3474964
605,0.3501111
606,0.3187345
607,0.3242254
608,0.3294548
609,0.2899725
610,0.3242254
611,0.2614721
612,0.3422669
613,0.3187345
614,0.3163812
615,0.3474964
616,0.3579553
617,0.3399137
618,0.3736436
619,0.3765198
620,0.3686756
621,0.337299
622,0.3030461
623,0.3344228
624,0.3216107
625,0.295202
626,0.3474964
627,0.3608315
628,0.3736436
629,0.3474964
630,0.4000523
631,0.4366584
632,0.425938
633,0.3895934
634,0.3922081
635,0.3579553
636,0.3056609
637,0.3501111
638,0.3422669
639,0.3265786
640,0.3085371
641,0.3320695
642,0.3108903
643,0.3553406
644,0.3608315
645,0.3922081
646,0.3710289
647,0.3657994
648,0.3501111
649,0.3817493
650,0.3294548
651,0.3399137
652,0.337299
653,0.3553406
654,0.3265786
655,0.4180939
656,0.3608315
657,0.3788731
658,0.3553406
659,0.3765198
660,0.384364
661,0.4494705
662,0.4233233
663,0.3974376
664,0.4102497
665,0.3501111
666,0.3686756
667,0.4154792
668,0.3399137
669,0.3631847
670,0.3030461
671,0.337299
672,0.2899725
673,0.3657994
674,0.2795137
675,0.3608315
Data Copyright MP Inc.
